stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.18,48.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,58.66,0,0,8.12,0,0,0,0,0,0,0,0
 10-12,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,36.93,0,0,0,0,0
 14-21,0,0,1.1,25.13,17.08,0,0,0,0,7.21,0,1.08,0,0,34.14,12.86,52.9,0.95,0.8,1.95,0,1.31,0,4.65,16.79,0,0,0
 24-34,0,0,0,0,0,5.95,0,0,1,1.44,0,0,0,0,6.2,1.24,74.97,0,0,0,0,0,0,0,64.78,0,1.74,0
 36-46,0,0,0,0.65,0,10.5,0,0,1.35,1.33,0,0,0,0,3.22,2.33,140.31,0,0.64,0,0,0,0,0,301.28,0,1.82,2.92
 48-58,0,0,0,0,0,10.26,0,0,7,0,0,0,0.43,0,4.23,0,429.37,0.96,0,0,0,0,0,0,703.92,0,0,0
 60-70,0,0,0,1.68,0,29.77,0,0,2.09,0,0,0,0,0,7.47,0.83,298.2,0,0,0,0,0,0,0,735.29,0,0,0
 72-82,0,0,0,0,0,29.87,0,0,4.11,0,0,0,0,0,1.43,0,373.19,0,0,0,0.71,0,0,0,526.21,0,0,0
 84-94,0,0,0,0,10.1,17.1,0,0,2.24,0,0,0,0,0,10.49,0,192.48,0,0,0,0,0,0,0,240.57,0,0,0
 96-106,0,0,1.44,0.96,0,9.97,1.16,0,2.1,1.44,0,2.1,0,0,3.48,3.01,330.26,0,0,0,0,0,0,0,182.12,1.26,0,0
108-118,0,0,0,11.96,0,35.15,0,3.53,2.14,2.66,3.24,0,0,0.63,5.64,0.46,270.62,0,0,0,0,0,0,0,189.51,0,0,0
120,0,0,0,0,0,25.55,0,0,0,0,0,0,0,1.5,7.74,0,246.82,0,0,0,0,0,0,0,142.22,0,0,0
