stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.94,5.58,0,3.53,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.14,2.14,4.36,0,1.03,0,0,0,1.39,0,3.72,0,0,0,0,4.44,0,4.67,5.9,4.13,0,0,0,1.89,0,3.37,5.23,0,2.97,0,0
 24-34,0,0,0,0,3.35,0.66,0,0,0,0,2.28,0,0,2.07,0,0,0,0.68,11.96,0,13.44,24.9,0.83,0,0,0,0,0,0,5.76,0,18.63,0,0
 36-46,0,0,0,0,0,0,0,4.43,0,0.88,10.98,0,0.6,3.06,0,0,0,0,10.38,0,5.8,15.94,1.33,0,0,0,0,0,0,1.91,0,10.85,0,0
 48-58,0,0,0,0,0,0,0,3.33,0,0.46,2.41,0,8.14,4.72,0,0.51,0,0,19.76,0,2.27,5.24,0,0.39,0,0,0,0,0,1.96,0,14.21,0,0
 60-70,0,0,0,0,0,0,0,7.37,3.19,0.83,2.36,0.72,0,34.15,0,0,0,0,31.58,0,5.31,10.34,1.29,0,0,0,0,0,0,6.45,0,18.45,0,0
 72-82,0,0,0,0,0,0.74,0,3.61,0,4.43,2.95,0.57,3.53,3.95,0,1.28,0.65,0,32.83,1.17,2.45,12.77,0,0,0,1.1,0,0,0,0.92,0,13.81,0,0
 84-94,0,0,0,0,1.73,0,0,3.21,0,0,3.12,3.19,1.01,20.86,0,0,0,0,16.99,8.61,4.64,6.67,0,0,0,0,0,0,0,0,0,18.64,0,0
 96-106,0,0,0.81,2.06,3.24,0,4.66,18.03,0,6.18,2.03,7.02,1.88,11.42,0.74,1.2,0,0,38.77,0.75,1.51,10.93,0,0.87,0,3,0,0,0,0,3.46,14.25,0.61,0
108-118,0,0,0,0,3.18,0,0.96,0,7.61,0,0,2.98,2.14,15.93,0,0,2.43,1.76,53.57,0.74,0.42,10.14,3.27,0,0,1.83,0,0.8,0,0,1.16,8.01,0,2.75
120,0,0,0,0,0,1.22,0,0,1.41,0,0,0,0,23.14,0,0,0,2.93,17.29,0,0,6.25,1.37,0,0,0,0,0,0,0,0,5.44,0,0
