stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,115.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.32,544.18,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,11.53,0,0,0,0,25.3,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0,0,0,635.86,0,0,0,97.45,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.08,7.77,0,0,53.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.78,0.81,6.56,0,0,0,2.21,0.81,0,0,0,0,0,0,0,1.81,0,0,0.87,40.71,1.83,0,0,0,1.02,1.23,1.01,1.32,0.93,31.58,0,0,0,0,0
 24-34,0,0,0,0,1.46,0,47.79,0,0,0,0.87,0,0,0,0,0,0,0,3.11,2.58,0,0,0.68,473.86,0,1.04,3.76,0,0.76,0,0,0,1.54,139.25,0,0,1.05,0,0
 36-46,0,0,0.95,0,0.63,0,165.8,0,0,0,4.62,0,0,0,0,0,0,0,0,1.97,0,1.12,0,1510.1,0,1.16,0,0,0,0,0,0,0,222.91,0,0,0,0,0
 48-58,0,0,0,0,9.9,1.35,740.42,1.13,4.69,0.56,27.91,0,0,0.5,0,0,0,0.39,0,19.5,0,0,0,1394.22,0.46,0.8,1.6,0,3.11,0,0,0,0,210.37,0,0,0,0,0
 60-70,0,0,0,0,3.3,0,3129.14,1.28,0.59,16.75,24.3,0,0,0,0,0,0,0,0,13.46,0,0,3.88,1442.09,0,0,4.13,0,2.13,0,0,0,0,178.55,0,0.71,0,0,3.16
 72-82,0,0,0.69,0,13.75,10.07,4122.81,0.56,0,1.31,61.27,1.68,0,0.66,0.49,0,2.49,0.6,5.32,42.14,0,0,6.39,1528.4,0,4.35,3.33,0,0.57,0,0,0,0,144.54,0,0,2.72,0.52,5.55
 84-94,0,0,4.09,0,22.53,0.92,2923.1,0,9.46,2.04,33.71,2.04,0,0,0,0,0.83,0,1.15,20.79,0,1.03,1.7,1002.83,2.15,0,0.72,0,5.8,0,0,0,0,59.29,1.21,1.56,2.77,0,0.8
 96-106,0,0,0,0,18.25,4.71,2582.38,0,1.68,0,48.36,3.1,0,1.34,2.07,0.71,0,3.04,0,22.53,1.8,1.06,6.3,892.67,0.75,1.03,4.11,0,0,0,0,0.7,0,33.64,5.58,1.15,13.57,2.44,2.89
108-118,0,0,0,0,24.27,2.26,2141.13,1.27,0,0,44.82,0.91,0,1.35,0.65,2.59,0,0,3.21,17.7,0,4.52,1.02,1390.46,0,1.35,5.67,0,1.56,0,0,0.44,0,37.31,0,1.52,1.8,2.47,7.84
120,0,0,0,0,13.76,9.8,1474.49,0,1.19,0,48.58,1.38,0,0,7.72,0,8.35,3.86,0,51.9,0,0,0,1601.24,1.29,2,0,0,3.71,0,0,1.21,0,60.52,0,0,0,0,0
