stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,27.14,0,0,0,0,1.4,0,0,1.49,1.83,0,0,0
 24-34,0,0,0.61,0,1.12,0,0,0,0,0,0,0,0,3.47,19.66,0.77,0,3.84,0,0,1.08,0,0,3.67,3.53,0,0
 36-46,0,0,0,0,8.5,0,6.15,0,0,0,1.62,6.13,2.96,0.72,17.1,0,0,0,0.81,0,0,0,0,2.4,0,0,0
 48-58,0,0,0,0,17.85,0,5.53,0,0,0,0,0.48,2.06,0,29.36,0,0,1.16,0,0,0,0,0,6.01,0,0,0
 60-70,0,0,0,0,20,0,2.02,0,0,0,0,0,2.71,0,29.03,0,0,0.62,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.77,0,5.78,0,0,0,0,2.21,0,0,3.57,0,5.79,0,0,0,0,0,0,0,0,1.16,2.33,0,0
 84-94,0,0,0,0,0.93,0,0,0.73,0,0,1.5,0,2.47,3.79,7.87,0,0,0,2.63,0,0,0,0,0,1.73,0,0
 96-106,0,0,0.92,1.67,2.41,0,1.57,0,0.77,0,0,0,4.11,2.23,4.05,0,0.66,0,0,0,0,0,0,0,7.72,1.94,0
108-118,0,0.91,0,0,2.59,0.61,3.92,0,0,0,0,0,3.52,0.48,6.85,0,0,0,0.55,0,0,0.86,0,0,0,0,1.37
120,0,0,2.21,0,0,0,0,0,4.77,0,0,0,0,1.05,19.27,0,0,0,0,0,0,0,0,0,0,0,0
