stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,37.39,5.37,13.31,0,0,0,0.95,2.91,2.29,0,2.44,0,0,0,0,1.45,14.15,0,0,10.45,150.94,5.47,0,0,1.82,0,4.04,0.91,23.87,0,1.39,21.41,49.13,0,0,2.91,0,0
 24-34,0,0,1.39,7.66,0,20.63,0,0.66,0,4.31,1.02,0,0.67,0.65,1.61,2.07,1.08,0,0,18.6,0,0,6.71,192.27,2.01,0,2.04,0,0,5.04,0,0,0,1.95,4.14,29.33,0,0,2.82,0,0
 36-46,0,0,0,6,0,45.91,0,0.93,1.44,10.4,0.72,0,0,1.46,0,0,0,8.33,0,23.22,1.67,0.89,3.87,232.13,0.56,4.61,1.51,0,0,41.33,0,0,0,0,0,35.09,0,0,3.99,0,0.98
 48-58,0,0,0,3.95,0,74.15,0,0,2.7,24.65,1.54,0,0.51,5.21,0,3.55,3.11,0,0,30.09,4.32,5.37,4.15,129.02,4.49,1.71,0.86,0,0,18.76,0,0,0,0,0,22.29,0,0.89,5.54,0,3.69
 60-70,0,0,0,9.99,0,118.85,0,1.77,2.61,45.62,0,0,0,5.97,0,0,0.8,4.95,2.64,67.37,0,2.82,7.1,161.41,0.66,5.56,0,0,0,45.13,0,0,0,0,0,14.86,0,0.9,1.54,0.64,4.13
 72-82,0,2.26,0,11,5.25,128.28,0,3.92,7.9,129.76,2.88,0,1.13,28.29,3.94,1.91,4.06,0.82,0,144.37,2.77,4.7,9.3,180.27,0,6.96,4.64,0,0,16.75,0,0,1.49,0,0,26.59,0,1.69,11.4,0.53,5.25
 84-94,0,0,0,8.64,5.6,98.08,0,0,6.52,68.26,3.24,0,3.16,9.32,2.2,0.55,2.13,3.5,3.93,90.97,0,3.47,7.95,93.42,1.26,3.37,0,0,0.57,28.85,0,0,0.56,0,0,13.83,2.27,2.91,10.42,1.35,3.51
 96-106,1.12,0,0,19.58,12.77,90.98,0.67,6.06,7.92,113.13,12.23,0,5.38,26.49,2.51,3.06,0.63,4.18,0,126.52,5.57,1.65,6.38,87.44,1.37,6.32,7.97,0,2.13,25.69,0,0,1.33,0,0,12.89,1.72,4.47,3.66,1.73,3.16
108-118,0,0.76,0,16.51,1.34,57.26,3.53,2.5,9.84,88.53,5.7,0,0.8,15.03,1.1,4.66,3.17,0.45,0,142.6,2.12,7.51,11.7,143.29,0.45,6.76,2.51,0,0.76,26.78,0,0,4.84,0.51,0,5.62,1.88,1.92,7.13,1.63,13.52
120,0,0,0,33.21,3.96,73.33,3.52,11.74,1.49,114.49,10.91,0,2.27,37.59,1.25,6.76,0,3.69,1.64,95.11,0,18.63,21.5,196.97,7.74,15.08,2.68,0,5.5,60.47,0,0,0,0,0,2.78,1.06,1.95,2.05,16.13,0
