stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle
  3-4,20.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.84,0,0,0,0,0
  5-6,41.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.83,0,0,0,0,0
  7-9,0,0,35.75,0,0,0,0,0,25.77,0,0,0,0,0,0,0,132.28,0,0,7.39,25.11,5.5,0,0,0,0
 10-12,0,0,43.3,0,3.82,0,0,0,0,0,0,0,0,0,0,0,112.81,0,0,0,6.36,0,0,0,0,0
 14-21,0,0,0,54.45,1.66,0,0,4.28,0,0,3.76,0,0,0,0,0,7.67,1.08,10.56,0,65.06,0,0,0,0,0
 24-34,0,0,0.59,2.54,0,0,0,0,0,0,3.09,0,0,0,0,0,8.22,0.76,1.45,0,32.76,0,0,0,0,0
 36-46,0,0,0,13.29,0,0,0,3.15,0,0,0,0,1,0,0,0,25.29,3.44,1.22,0,47.81,0,0,2.23,0,0
 48-58,0,0,0.4,1.79,0.53,0,0,0,2.4,0,1.54,0,0.95,1.3,0,0.8,12.62,0,0.8,0,16.03,0,0,1.53,0,0
 60-70,0,0,0,7.35,0.86,3.01,0,1.68,0,0,0.56,0,0,0,0,0.65,21.47,0.81,3.78,0,22.41,0,1.17,0.75,1.06,0
 72-82,0,0.56,0,15.53,0,0.51,0,5.79,0,0,2.07,0,1.91,0,0,3.98,7.09,4.78,13.06,0,21.24,0,0,1.17,5.39,0
 84-94,0,0,0,28.27,0.58,0.58,2.08,20.46,0,0,0,0,0,1.3,0,5.85,5.18,5.91,7.33,0,31.29,0,0,0,2.78,0
 96-106,0,1.19,0,12.62,9.4,0.9,4.8,20.81,1.32,0.56,2.29,0,6.52,0,7.17,2.71,12.75,6.33,3.74,0,55.33,0,1.49,0,3.8,0
108-118,0,0,0.65,24.03,3.08,1.31,0,25.62,2.74,0,2.31,2.84,3.56,7.17,0,9.18,22.17,3.73,13.89,0,55.81,0,0,0,17.37,2.38
120,0,0,0,23.75,0,1.31,0,38.21,0,0,6.15,0,11.07,0,0,1.49,4.12,8.45,3.96,0,40.15,0,0,0,15.72,0
