stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,41.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.06,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,8.25,0,0,4.83,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.05,5.55,0,0,12.4,0,0,0,0,0,0
 14-21,0,0,0,1.34,2.05,0,0,0,0,21.38,0,0,0,0,3.78,0,5.28,0,0,9.99,1.37,0,1.15,21.27,1.82,54.38,0
 24-34,0,0,0,0.84,0,0,0,0,0,31.92,0,0,0,0,0,1.1,12.39,0,6.09,3.23,0,0,0,18.24,3.01,64.82,0
 36-46,0,0,0,0,0,0,1.06,0,4.32,30.57,0,0,0,0,5.14,0,17.2,0,8.57,11.37,0,0,0,10.51,0,36.95,0
 48-58,0,0,0,0,0,0,3.46,0,0,24.67,0,0,0,2.62,6.19,0,27.62,0,8.2,2.49,0,0,0,3.23,0,52.75,0
 60-70,0,0,0,0,0,0,1.68,0,0,47.02,0,0,0,2.27,2.9,0,18.56,0,17.62,4.4,0,0,0,2.12,0,23,0
 72-82,0,0,0,0,0,0,7.21,0,0,46.73,0,0,0,3.77,3.57,0.73,7.73,0,15.97,7.34,0,0,0,2.45,0,11.42,0
 84-94,0,0,1.01,1.94,0,0,7.79,0,0,16.31,0,0,0,2.19,5.07,0,8.09,0,7.81,19.61,0,0.61,0,4,0,5.23,0
 96-106,0,0,0,0,0,0.63,1.96,0,0,31.2,0.69,0,0,9.11,10.39,0.61,4.74,0,4.37,17.18,0,6.21,0,0.6,0,10.98,2
108-118,0,0,0,1.93,0,0,0.44,0,0.44,31.16,1.07,0.61,0.72,5.37,3.95,0,9.23,0,5.58,14.82,0,0,0,2.79,0,6.22,0
120,0,0,0,0,0,0,11.16,2.08,1.98,18.34,0,0,0,6.26,0,0,37.05,0,0,20.02,0,0,0,0,0,0,0
