stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.84,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0
  7-9,0,0,0,28.86,0,0,0,0,0,0,0,0,0,22.47,0,4.52,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.78,0,0,0,0,0,0,0,0,0,91,0,6.71,0,0,0,0,0,0,0,0
 14-21,0,0,3.42,4,0,0,0,0,0,0,0,0,4.51,28.81,0.86,0,0,0,8.37,17.5,0,0,0,0
 24-34,0,0,0,1.48,2.22,1.86,0,0,0,0,0,0,0,69.18,3.25,0,0,0.63,0.75,22.1,0,11.95,0,0.76
 36-46,0,0,1.24,11.88,2.58,8.78,0,0,0,0,0,0,0,39.61,0.63,0,0,0,0,15.33,0,9.78,0,0
 48-58,0,0,0,0.54,0.84,4.34,0.53,0,0,2.43,0,0,0,36.83,0.5,0,0,0,0,6.9,0,3.6,0,0
 60-70,0,0,2.74,0,2.01,20.59,0,0,0,0,0,0,0,24.62,1.71,0,1.54,0,0,4.05,0,0,0,0
 72-82,0,0,0,5.73,4.73,11.97,0.55,1.75,0,0.74,0,1.42,0.95,11.22,1.86,0,0,0,0,3.86,0,1.1,0,0
 84-94,0,0,7.25,0.58,6.72,5.56,0,0,0,0,0,0,0,22.94,5.24,0,0,0,0,1.69,0,0,0,0
 96-106,0,0,0.58,1.52,0,8.99,0,0,0,4.05,0,0,0,6.1,1.18,0,0,0,0,0,0,10.37,0,0
108-118,0,0,4.81,0,9.94,11.41,0,0,3.03,0.43,0.6,0,0,9.15,5.88,0,0,0,0,0,0.84,5.86,0.72,0
120,0,0,0,0,0,10.94,0,2.59,0,0,0,4.73,0,22.22,0,0,0,0,0,0,0,0,0,0
