stage,blastomeres,endoderm,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,neural,spinal.cord,vasculature
  5-6,9.48,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.84,0,0
 10-12,0,6.76,0,7.3,0,0,0,0,3.46,0,0
 14-21,0,0,0,0,0,0,0,0.95,0,0,0
 24-34,0,0,0,0,0,0.65,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,2.41,0.77,0
 48-58,0,0,0,0,2.82,0,0,6.79,4.75,3.17,0
 60-70,0,0,0,1.45,0,0,7.59,1.69,4.51,0,0
 72-82,0,0,2.24,3.23,0,0,0,0,10.45,1.58,0
 84-94,0,0,0,1.37,0,0,8.25,4.46,0,2.23,0
 96-106,0,0,0,0,0,0,14.78,4.34,2.31,0,0
108-118,0,0,0,0.98,0,0,6.45,6.52,4.3,0,0
120,0,0,0,0,0,0,9.9,8.41,22.53,0,2.85
