stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,11.47,0,0,0,4.04,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,18.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.09,0,0,1.02,0,0,0,0,0,0,0,0.84,2.79,0,0,0,0,0,1.18,0,0,0,0
 24-34,0,0,1.62,0,12.3,0,0,0,0,0,0,0,0,1.19,0.9,0,23.97,0,0.69,0,0,30.57,2.29,0,6.44,0,0
 36-46,0,0,0,0,57.95,0,0,3.22,0,0,0,0,0,0,2.36,0,59.82,0,0,0,0,40.65,1.21,0,1.37,0,0.81
 48-58,0,0,0,1.98,144.59,0,0,20.44,1.98,0,0,0,0,0,0.39,0,108.33,0,0,0.54,0,41.33,16.29,0,0.38,0,0
 60-70,0,1.1,2.17,0,151.86,0,0.86,17.28,0,0,0,0,0,0,0,0,82.85,0,0,1.56,0,32.52,1.94,0,0,0,0
 72-82,0,0,0.79,1.4,108.86,0,0,3.91,0.52,0,0,0,0,0,3.96,0,63.01,0,0.56,3.1,0,24.76,0.6,0.63,1.93,1.44,0
 84-94,0,0,0,0,64.62,0,1.84,2.91,3.06,0,8.71,0,0,0,7.62,0,63.04,0,0,4.12,0,71.6,3.28,0,0,0,0
 96-106,0,0,7.65,2.17,38.11,0,1.1,2.05,0,0,0,0.63,0,0,1.36,0,58.53,0,0,0,0,51.82,0,0,0,0,0
108-118,0,0,1.56,5.31,34.91,1.41,0,5.82,0,0.44,0,0,1.52,0,1.94,0,44.66,0.93,0,0.47,0,22.54,7.73,0,0,0,0
120,0,0,0,14.55,41.74,0,0,31.92,0,0,0,0,0,0,0,0,33.17,0,0,0,0,6.99,0,0,0,0,0
