stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,47.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,0,0,0,21.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.86,0,0,0,24.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,76.69,0,0,0,58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3351.43,19.9,0,0,182.06,0,47.89,43.3,0,26.14,0,0,0,0,0,0,0,0
 14-21,0,0,3.98,2649.5,45.32,0,4.49,0,1,0,30.18,108.68,0,0,13.09,0,0,21.08,4.6,0,15.31,60.27,34.82,0,4.52,8.43,0,977.5,2.13,62.93,14.15,1.65,37.34,202.28,0,0,1.35,0,0
 24-34,0,0,2.45,583.36,0,0,9.3,0,17.1,1.23,22.41,3.49,0.75,2.95,3.5,6.52,0,15.53,9.3,0,9.83,104.13,7.79,2.07,3.02,0,0,141.52,0,0,10.97,0,4.85,150.47,0,0,20.22,0,0
 36-46,16.91,0,0,263.03,0,0,3.11,0,10.14,1.94,14.98,0.59,2.27,10.44,0,4.75,0,33.07,0.87,0.88,19.95,72.74,8.88,1.16,1.15,0,0,124.68,1.78,0,24.06,0,0,69.07,0,0,1.94,0,0
 48-58,0,0,0,125.26,0.93,0,17.97,0,21.62,2.57,28.03,0,1.87,5.94,0,7.43,0,112.68,0.38,2.61,45.46,49.32,9.6,0,4,0,2.36,39.62,0,0,3.9,0,0,35.26,0,0,3.14,0,0
 60-70,0,0,0,114.87,2.5,0,14.18,0,17.89,0,102.34,0,0,4.7,0,5.63,0.81,196.27,0,18.17,30.99,29.6,25.06,0,3.29,0,2.14,6.68,0,0,1.09,0,0,23.29,0.61,1.57,1.03,1.7,0
 72-82,0,0,0,44.17,8.52,0,25.65,0,4.65,7.29,172.6,1.17,5.04,17.99,0.52,9.61,0.88,332.18,1.95,6.62,35.62,44.75,18.44,0,17.27,0,5.73,8.9,0,0,1.09,0,0,10.35,0.92,4.4,6.71,13.23,3.62
 84-94,0,0,0,105.36,22.18,0,25.13,0,15.77,0.87,98.57,3.75,8.57,15.89,0.56,5.42,0,244.85,0.81,13.12,23.46,17.84,30.56,1.46,26.44,0,2.02,33.28,0,0,9.81,0,0,15.13,0,7.02,0.91,6.48,0
 96-106,0,0,0,158.51,12.51,0.98,25.84,7.82,17.31,1.73,144.64,2,3.89,19.24,0.7,18.47,2.16,353.35,1.39,13.29,27.11,58.34,42.82,1.03,26.33,0,6.25,13.75,0,0,8.75,0,0,17.66,0.8,10.02,4.56,25.33,0
108-118,0,0,0,139.02,37.67,0,22.66,0,13.67,7.27,139.94,1.72,12.68,17.83,1.08,10.19,1.32,374.14,0.93,12.8,15.37,41.83,52.92,1.18,32.57,0,1.84,2.3,0,0,4.79,0,0,11.17,3.72,6.58,6.63,18.95,0
120,1.19,0,0,156.14,29.95,0,35.56,0,27.45,2.59,171.07,1.45,16.58,20.74,7.01,5.81,0,218.59,1.16,5.84,22.71,45.94,38.11,0,33.21,0,0,0,0,0,6.43,0,0,1.75,0,42.37,15.61,50.39,0
