stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,122.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,29.01,0,0,0,0,0,0,0
  7-9,12.38,0,0,0,0,0,7.9,0,0,0,0,0,0,0,46.27,3.27,0,0,0,27.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,28.08,0,0,0,0,31,0,0,0,0,13.36,4.37,3.57,0,0,0,0,0
 14-21,0,0,0,0.81,0.88,0,0.92,9.66,0,0,0,0,0,1.66,50.2,0,0,0,0,16.8,0,2.1,0,0,17.81,0,0
 24-34,0,0,0.75,3.43,0,0,3.73,0.96,0,0,0,0,0.96,0,85.83,0,0.97,0,0,2.28,0,0,1.58,0,22.04,1.56,0
 36-46,0,0,0,2.19,0,0,3.59,2.23,0,0,0,1.47,2.83,0,53.41,0,0.89,0,0,10.78,0,0,0,1.13,15.61,0,0
 48-58,0,0,0,1.96,0,0,10.65,2.33,0,0,0,0,0.44,0,16.42,1.41,0,0.67,0,0.58,0,0,0,0,6.3,0,0
 60-70,0,0,0,0.94,0,0,12.59,3.87,0,0,0,0,1.83,0,14.41,0,0,0,0,4.21,0,0,0,0,3.98,0,0
 72-82,0,0,0,0,0,0,11.79,1.3,0,0,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0,4.87,0,2.1
 84-94,0,0,0,0,0,0,15.38,0,0,0,0,0,2.44,0,16.39,0.65,0,0,0,0,0,0,0,0,3.64,0,0
 96-106,0,0,0,0,0,0.57,9.35,7.62,0.93,0,0,0,0,0,14.2,0,1.76,0,0,0.6,0,0,0,0,7.4,0,0
108-118,0,0,0.76,0.56,0,1.58,5.45,12.17,0,0,0.42,0,2.83,0,4.8,0,0.89,1.33,0,0,0,0,0,0,5.46,0,0
120,0,0,0,0,0,0,2.62,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0
