stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,16.11,692.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.3,0,0,0,0,0,0,0,0,0
  5-6,64.58,1246.26,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,18.15,6.07,0,0,24.59,0,0,0,0,0,0,0,0,0
  7-9,35.93,31.53,0,9.06,0,0,0,69.41,0,0,0,0,0,25.94,0,0,0,0,0,0,0,0,0,604.18,66.25,0,207.89,11.36,15.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.6,0,10.2,0,109.78,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,355.67,8.16,0,235.94,12.81,12.18,0,21.66,0,0,0,0,0,0
 14-21,0,0,0,0.81,2.5,3.19,0,3.05,0,0,0,0,1.03,0,0,0,45.08,0,0,0,2.29,0.86,0.85,19.8,0,2.44,1.41,4.32,1.81,4.52,0,4.74,10.07,25.02,0,1.06,0
 24-34,0,0,0,0,4.58,1.89,0,2.75,0,0.74,0,0.61,0,0,0,0,60.4,0,0,0,4.02,0,5.14,30.14,0,50.38,0,4.8,0,0,0,8.44,5.12,22.93,0,3.68,0
 36-46,0,0,1.98,0,0,0,0,21.18,0.85,0.62,0,0.88,0,0,0,0,46.49,0,0,1.07,0.63,1.37,0,22.13,0,31.38,0,2.76,0.81,0,0,10.07,0,7.61,0,0,0
 48-58,0,0,0,0,5.96,0,0,3.33,0,0,0,1.6,4.62,0,0,0,3.63,0,0,0,6.03,1.17,1.49,23.29,0,27.26,0,3.63,0,0,0,1.19,0,10.05,0,0.82,3.66
 60-70,0,0,0,0,0,0,0,16.56,0,0,0,0,0.85,0,1.19,0,2.9,0,0,0,11.99,0,2.79,10.58,0,45.12,0,0,0,0,0,0,0,2.27,0,0,0
 72-82,0,0,0,0,0,0,0,25.05,0,0,0.8,1.29,1.05,0,0,0.59,0,0,0,0,2.16,0,3.06,4.02,0,68.62,0,0,0,0,0,1.81,0,0,0.52,0,0
 84-94,0,0,0,0,0.57,0,0,3.91,0,0,0.91,0,0,0,0,0,4.92,0,0,0,1.62,0,0,14.99,0,181.9,0,6.47,0,0,0,11.1,0,2.41,0,0,0
 96-106,0,0,0,0,7.79,0,0,9.81,2.68,0,0,0,1.02,0,0,0,0,1.5,4.26,0,0,0,1.29,0,0,134.53,0,1.29,0,0,0,7.75,0,0,0,1.33,0
108-118,0,0,0,0,0.44,0.66,0.76,23.39,2.21,0,0,5.98,0,0,0,0.47,2.07,0.77,0,0,9.25,0,1.59,10.6,0,168.67,0,2.77,0,0,0,10.46,0,0,0,0,0
120,0,0,0,0,0,1.12,1.61,14.14,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,22.47,0,312.8,0,0,0,0,0,6.07,0,0,0,0,15.11
