stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,287.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.61,0,4.53,0,0,0,12.71,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,76.08,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.24,0,0,0,0,0,0,0,0,0,11.71,0,0,0,0,0,0,0,0,51.38,0,0,0,5.57,0,0,5.85,9.63,0,0,0,0,0,0
 14-21,0,0,0,1.12,0.98,0,3.16,0,0.88,0,0,0,0,0,0,0,0,0,3.3,0,0,30.86,0,0,0,0,0,1.54,0,0,0,2.85,7.49,0,0,0
 24-34,0,1.26,0,0.72,1.6,0,7.35,0,0,0,0.83,0,0,0.82,0,0,0,0,1.43,2.33,0,53.74,0,0,0,0,0,3.42,0,0,0.6,0,22.69,0,1.99,0
 36-46,0,0,0,0,0,0,5.19,0,1.39,0,1.34,0,0,0,0,0,0,0,1.97,0,2.16,47.65,0,11.55,0,0,0,11.33,0,2.67,1.14,1.34,12.1,1.04,7.63,0
 48-58,0,0,0.43,0,0,0,7.88,0,0,0.47,1.2,0,0,0.85,0,0,0,0,0.97,0,0,58.54,0,0.48,0,0,0,0,0,0,0,0,12.91,0,0.45,0
 60-70,0,0,0,1.32,0,0,34.88,0,0,0.98,4.88,0,0,1.94,0,0,0,0,2.05,5.63,0,76.61,0,0,0,0,0,0,0,1.95,0,0,10.24,0,3.25,0
 72-82,0,3.38,0,0.49,0,0,51.87,0,0,0,9.56,0.72,0,0,0,0,0,1.03,9.83,0,0,68.21,1.92,0,2.93,0,0,0,0,1.27,0,0,1.6,0,10.48,2.08
 84-94,0,0,0,7.63,0,0,29.62,0,6.51,0,22.6,0,0,0,1.77,0,0,0,8.05,5.77,1.36,75.24,0,0,3.48,0,0,0,0,6.07,0,0,9.07,1.31,7.71,0
 96-106,0,2.52,0,1.67,0,0,35.02,0,0,0.82,16.76,1.73,0,4.69,1.73,0,0.65,0,12.69,0,0.8,82.18,0,0,1.51,0,0,7.06,0,1.41,0,0,2.11,0,11.34,0.8
108-118,0,5.91,0,10.48,0.98,2.71,72.1,1.02,0.51,0,1.86,0,0,0.74,0,0,0,0.63,16.01,0,1.48,94.12,0,0.96,0.65,0,1.08,1.61,0,1.92,0.95,0,0,0,5.86,0.49
120,0,11.43,0,20.12,0,0,47.04,0,2.51,0,1.41,15.95,0,4.06,0,4.88,0,0,13.33,0,3.72,157.56,0,4.59,8.54,0,0,1.79,0,3.83,0,0,0,0,58.93,0
