stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,23.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,3.39,21.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,25.26,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,488.36,17.27,23.96,0,0,0,0.82,0,0,131.35,0,0,0.91,0,0,7.75,0,4.5,3.32,0,1.2,58.88,8.72,5.23,9.44,0,11.58,6.13,3.3,1796.58,0.84,11.74,3.43,0,0,0,0,0
 24-34,0,0,0.65,528.23,7.15,1.82,0,1.59,0,0.92,0,0.99,148.71,0,0,8.84,0,0,57.24,1.23,1.64,0,0,0,52.83,0,3.63,1.06,0,0.68,0,0,474.12,0,0,9.42,0,0,1.11,0,0
 36-46,0,0,0,55.85,3.65,0,0,2.88,0,1.45,0,0.84,179.06,0,0,0,0,0,102.85,0.89,0,0,0,0,20.18,0,1.13,1.01,0,2.11,0,0,199.88,0,0,32.06,0,0,0.62,0,0
 48-58,0,0,0,45.66,1.98,0.4,0,4.26,1.6,0,0,1.61,188.13,0,0,0,0,0,73.62,0,2.03,0.53,0,0,35.17,0,0,0,0,0.85,0,0,101.66,0,0,20.65,0,0,0,0,0
 60-70,0.81,0,1.96,5.85,0.69,0,0,41.15,0,0,0,1.6,403.92,0,0,0,0,0,88.28,0,18.24,0,0,0,67.57,0,0,0.62,0,0,0,0,96.08,0,0,19.97,0,0,0.75,0,0
 72-82,0,0,13.31,18.83,0,0.94,5.65,47.03,0,2.41,2.38,6.11,735.65,0,0,0,1.03,0,37,0,22.59,0,0,0.56,97.85,0,2.07,5.74,0,8.93,0,0,79.53,0,0,15.01,1.58,0,2.13,0.93,1.1
 84-94,0,0,14.49,51.46,20.38,0,7.4,25.96,0,0,0,2.23,1565.74,0,0.92,1.76,0,2.24,117.31,0,16.61,0,2.35,4.82,76.12,0,0,4.22,0,13.19,0,0,136.93,0,0,17.66,0,0,0,0,0
 96-106,0,0,28.08,63.99,10.35,19.49,16.71,78.95,1.06,2.43,1.54,10.84,1727.2,1.53,0.74,3.08,0.57,0,99.07,0,34.01,1.41,5.86,0,171.84,1.48,0.6,6.25,0,15.05,3.84,0,152.15,0,0,8.4,1.07,0,3.48,3.94,0
108-118,0,0,13.84,106.28,8.15,7.93,71.35,53.45,2.19,1.9,0,13.99,1675.69,1.71,0,0.42,1.92,0,158.42,0,40.77,5.52,4.1,2.05,117.51,0,1.98,1.07,0,15.21,0,0,130.68,0,0,6.3,5.27,3.02,3.54,0,7.33
120,0,0,11.95,5.72,43.7,8.33,22.83,22.99,0,0,0,3.57,786.26,0,5.71,0,0,0,103.12,0,0,0,20.12,1.96,110.34,0,0,4.24,0,1.57,0,0,79.29,0,0,1.75,0,0,0,0,16.56
