stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0
 14-21,0,2.14,0,1.02,0,0,0,0,0,1.08,0,0,0,0,0,8.19,0,0,2.24,19.54,0,1.37,0,0.87,0,2.55,12.84,0,0,0,0,0
 24-34,0,0,0,0,0,2.78,0,0,0,0,0,1.94,0,0,0,0.63,0,0,0,101.77,0,3.94,0,0,0.83,0,34.65,0,0,0,0,0
 36-46,0,0,0,0,0,14.82,0,0,0.57,0.79,0,0,0,0,0,0.84,0,0.92,0,207.59,0,0,0,0,0,0,28.34,0,0,0,0,0
 48-58,0,0,3.07,0,0,21.88,0,0,0,4.74,0,0,0,0,0,1.63,0,0.58,0,380.21,0,1.77,0,0,0.6,0,36.46,0,0,0,0,0
 60-70,0,0,0,0,0,59.92,0,0,1.96,6.47,0,0,0,0,0,6.31,0,0.71,0,479.39,0,1.69,0,0,0,0,25.92,0,0.61,1.73,0,0
 72-82,0,0,1.44,0.8,0,105.57,0,0,0,11.14,0,0,0,0,0,13.87,0,0.61,0,771.98,0,2.58,0,0,1.42,0,37,0,0.8,1.11,8.29,7.89
 84-94,0,0,1.41,0,0,131.53,0,0.6,0,14.91,0,0,0.65,0,0,11.29,0,2.63,0,598.49,0,1.53,1.75,0,0.98,0,22.75,0,2.14,1.82,5.74,3.31
 96-106,0,0,1.65,0,9.83,69.42,0,0.85,0,8.23,0.68,0,0,0,0,11.01,0,3.18,0,527.78,0,1.79,0,0,2.42,0,27.34,0,2.43,2.17,13.61,0
108-118,0,0,4.35,0.96,0,98.08,0,0,0.48,15.66,0,0,0,0,0,9.87,1.38,0,0.6,802.84,0,0.89,3.32,0,0.66,0,11.78,0,2.58,0.84,6,0
120,0,0,12.19,1.69,0,140.88,5.49,0,0,11.16,0,0,0,5.96,6.84,41.52,0,9.54,6.48,1160.24,1.94,0,0,0,1.64,0,21.42,1.37,0,0,10.43,0
