stage,blastomeres,eye,fast.muscle,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,pericytes,periderm,spinal.cord,xanthophores
  3-4,24.19,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.42,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.9,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,13.87,0.86,0,4.37,0,0,0,0,0
 48-58,0,1.27,0,0,19.62,0.49,0,9.05,7.92,0,0.37,0,0
 60-70,0,0.86,0,0.66,16.26,0,0,35.95,0,0,0,1.36,0
 72-82,0,8.6,4.55,0,4.39,10.9,0,66.93,0,0,0,0,0
 84-94,0,1.93,0,0,24.43,2.03,0,60.81,0,2.93,0,0,0
 96-106,0,2.32,1.64,0.75,10.26,3.68,1.56,38.38,0,0,0,0,0.68
108-118,0,0.48,0,0.94,12.67,3.39,0,85.6,0,0,0,2.21,1.7
120,0,15.75,0,0,9.14,4.63,0,74.08,0,0,0,0,0
