stage,fast.muscle,immune,olfactory,periderm
 24-34,0,0,0,3.05
 60-70,0,0,0,1
 72-82,1.89,0,0.54,0
 84-94,0,0,0.89,0
 96-106,0,0.88,20.41,0
108-118,0,0,28.55,0.68
