stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,33.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.7,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0
 14-21,0,0,0,0,0,0,54.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,41.18,0,0,0,0,0,0,0,1.15,0,1.04,0,0,0,0
 24-34,0,0,0,0.66,0,0,1761.02,0.62,0,2.14,0,0,0,0,0,0,9.93,2.52,0,0,3.72,160.56,0,2.28,0,0,0,3.86,2.09,0,1.35,9.64,0,0,0,0
 36-46,0,0,0,4.38,0,0,4454.62,0,0,2.05,0,1.05,0,0,0,0,0,8.45,1.01,0,1.78,156.28,0.66,3.88,0,0,0,5.04,0,0,0,30.34,0,6.63,0,1.72
 48-58,0,0,0,0,0,0,3140.15,0,1.12,8.16,0,2.45,0.45,0,0,0,0,10.36,0,1.12,2.44,124.65,0,7.03,0,0,0.56,8.69,1.74,0,0,16.6,0,0,0,4.7
 60-70,0,0,0,1.15,0,0,3105.02,2.17,0,4.9,0,0,0.82,0,0,0,0,4.23,1.83,6.79,0,72.36,0,6.54,2.57,0,0,3.91,0,0,0,10.16,0,0.9,0,13.72
 72-82,0,0,0.75,2.16,8.77,0,2374.3,0,0,6.77,0,0.66,0.55,0,0,0,0,8.96,0,0,0.56,76.36,0,6.93,0,0,0,0,1.17,2.68,0,8.44,0,0,0,0
 84-94,0,0,0,0,0,0,2772.19,4.53,0,2.87,0,0,5.14,0,0,0,2.58,1.14,0,0,0,72.33,0,3.72,0,0,0,0.75,3.73,0,0,0,0,0,0,5.71
 96-106,0,0,0,0.56,12.29,17.25,1514.9,0,0,7.97,1.71,0,1.49,0,0,0,0,7.7,0,1.7,1.32,56.63,0,9.52,0,0,0,0.63,0.61,0,0,0,1.08,0,0,0
108-118,0,0,0,3.35,3.64,0,2062.76,0,3.34,6.68,2.69,0,7.3,1.21,0,0,0,22.67,0,0,2.93,108.09,0,7.03,0,0,0,1.43,0,0,0,7.91,0,3.72,1.26,0
120,0,0,0,0,3.49,0,1516.77,0,0,0,0,0,1.88,0,1.01,2.11,0,15.08,0,0,0,142.51,0,1.32,0,0,0,1.13,1.47,0,0,0,0,5.74,0,6.17
