stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,50.7,1459.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.06,0,0,0,0,0,0,0,0,0
  5-6,147.73,1826.21,0,27.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.28,15.88,0,0,22.53,0,55.95,0,0,0,0,0,0,0,0,0
  7-9,41.34,145.01,0,97.77,0,0,0,223.54,0,0,0,0,133.95,0,0,0,0,0,0,0,0,0,0,2449.33,113.1,0,0,829.38,0,4.16,17.36,0,0,0,0,0,0,0,0
 10-12,0,86.64,0,137.72,0,8.6,0,292.46,0,0,0,0,31.57,0,0,0,0,0,0,0,0,0,0,2091.4,24.77,0,0,699.49,0,0,0,0,151.86,0,22.54,0,0,0,0
 14-21,0,0,0,4.01,23.16,10.07,0,24.78,0,0,0.84,1.82,1.11,0,1.24,0,0,0,0,18.18,0,0,7.25,297.27,1.94,0,3.89,7.13,0,22.08,0,17.36,3.51,1.17,14.58,75.7,0,1.45,0
 24-34,0,0,0,0.96,4.08,3.64,0,69.91,1.59,5.57,12.27,0,0,0,0.64,0,1.56,0.74,0,47.99,0,1.21,14.86,621.24,2.82,6.74,1.38,0,0,52.81,0,0,1.7,0,2.18,101,0,7.75,0
 36-46,0,0,0,0,4.16,1.7,0,126.43,1.03,0,5.62,0,0,0,0,0,0,0,12.85,28.94,0,1.32,7.14,444.64,0.89,0.6,1.14,0,0,29.94,0,0,0,0,0,73.16,0,12.01,9.26
 48-58,0,0,0,0,8.37,0,0,161.04,2.11,0,19.13,0,0,0,0,0,0,0,20.63,41.17,1.32,2.15,5.45,117.12,0,2.46,0,0,0.47,7.39,0,0,0,0,0,22.12,0,4.9,7.48
 60-70,0,0,0,0,6.41,0,0,102.38,0,1.6,27.15,0,0,1.67,0,0,4.91,0,12.83,28.83,0,1.84,8.39,114.93,0,2.73,0,0,0,13.34,0,0,0.68,0,0,2.59,0,5.77,2.96
 72-82,0,0,2.07,0,7.18,0,0,46.61,0,0,25.52,0.73,0,3.97,0,0,0,0,11.51,26.01,0,1.01,4.83,62.53,0,2.7,1.86,0,0,9.73,0,0,0,0,0,3.71,0,0.72,0
 84-94,0,0,0,0,7.69,0.59,0,42.27,0,0,12.63,0,0,0.83,0.79,0,0,1.79,32.99,28.36,0,2.12,3.83,83.54,0.94,3.57,2.02,0,0,36.43,0,0,3.98,0.64,0,5.98,0,1.59,0
 96-106,0,0,2.37,0,5.78,0,0,19.71,0,0,14.05,3.94,0,0.62,0,0,0,0,8.15,12.96,0,0,3.39,42.41,0,4.99,2.47,0,2.45,21.54,0,0,1.72,0,0,4.94,0,3.94,0
108-118,0,0,0.61,0,5.21,1.93,1.7,47.75,0,0.71,23.36,1.56,0,0,0,0.41,0,5.99,17.5,6.69,0,0,3.43,60.57,0,0,3.59,0,1.02,22.65,0,0,1.33,0,0,0,0.62,3.24,0
120,0,0,0,0,1.72,0,0,33.87,0,0,65.41,1.28,0,0,0,0,0,12.01,1.6,7.22,0,1.45,6.24,56.11,6.73,1.15,3.1,0,0,8.39,0,0,2.3,0,0,0,0,17.08,14.25
