stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,30.63,271.26,64.75,0,216.83,0,0,51.81,9.27,2.12,7.41,0,6.86,0,0.92,16.38,1.05,125.28,2.72,0,113.07,2076.76,38.22,14.45,23.95,33.77,0,120.57,2.13,147.2,22.44,3.91,127.11,525.75,0,5.97,0,0.91
 24-34,4.02,2.34,53.86,2.15,0,404.23,3.54,0,49.9,0.92,0,0,7.13,4.03,2.48,2.76,1.77,0,175.25,0.63,2.63,55,2945.48,1.93,17.46,25.97,0,0,41.92,0,2.53,0.76,0.76,7.8,526.8,0,48.46,0,0
 36-46,0,0,50.39,3.53,0,781.42,5.51,0,36.53,0,0,1.43,2.32,0,4.71,0.64,0,0,141.51,8.3,1.39,29.44,1857.69,1.27,10.22,2.8,0,0,32.06,0,1.63,0,0,0,363.29,0,31.83,0,0
 48-58,0,0.96,20.52,2.19,0,1068.36,0,0.46,69.91,0.38,0,2.14,1.71,6.15,3.18,1.73,0.38,0,148.55,0.49,9.28,20.76,1206.23,2.56,4.83,3.9,0,0,5.49,0,0,0,0,0,210.62,0,9.75,0,2.44
 60-70,0,0,21.59,0,0,675.47,0,9.94,39.51,1.48,0,0,2.6,3.74,0,5.42,2.6,0,143.05,0,12.18,11.82,674.59,1.83,5.67,0,0,1.22,7.36,0,0,0,0,0,67.46,0,14.89,0,0
 72-82,0,0,28.08,0,0,195.98,0,0.88,40.28,3.47,0,2.28,0.59,1.07,8.88,1.42,0,0,58.97,0,3.15,9.11,288.33,0,0.75,1.86,0,1.77,2.39,0,0,0,0,0,11.67,0,2.7,6.68,7.94
 84-94,0,0,17.59,0.58,0.8,167.16,1.16,0,43.68,13.42,0,2.85,2.75,2.72,0,0,0,0,98.76,0,6.46,8.21,274.39,0.65,8.49,2.25,0,0,1.62,0,0,0,0,0,14.91,2.06,21.53,0,0
 96-106,0,0,10.71,0,0,116.1,0.63,0.63,36.03,2.31,0,0,1.71,0,0,0.72,0,0,32.28,3.13,0,1.69,381.68,0,4.3,3.8,0,0,2.11,0,0,0,0,0,6.5,0,8.16,0,0
108-118,0,0,12.75,1.67,0.44,131.51,0.45,1.76,34.29,6.59,0,0,5.65,2.12,0,0.69,2.44,0,14.33,0,6.09,5.22,407.96,1.97,0.42,0.43,0,0,7.15,0,0,0.52,0,0,2.36,0.41,6.56,0,0
120,0,1.28,17.66,5.39,0,232.3,0,0,48.13,4.61,0,0,10.15,1.36,24.08,0,0,0,16.81,0,2.35,10.52,419.98,0,1.96,1.29,0,0,6.84,0,0,0,0,0,0,0,3.95,0,0
