stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,27.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,8.62,0,0,0,0,0
 14-21,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 24-34,0,0.89,0,1.22,3.94,0,0,0,0.86,0,0,0,0.75,1.56,0.83,0,0,0,0,0,0,36.83
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,52.63,0,0,0,0,1.11,1.49,0,3.93
 48-58,0,0,0,0,6.98,0,3.08,0,0,0,0,0,0,127.14,0,1.11,0,0,0,5.75,0,14.06
 60-70,0,0,0,0,5.91,0,3.05,0,0,0,0,0,0,350.82,0,0.75,0,0,0,31.04,0,17.92
 72-82,0,0,0.58,0,24.83,0,2.97,0,0,0,11.3,0,0,510.63,0,0,0,0,1.07,22.62,1.69,15.49
 84-94,0,3.52,1.44,0,26.41,1.38,2.57,3.71,0,2.7,9.61,0,0,301.63,0,1.22,0,0,0,10.17,1.91,6.97
 96-106,0,2.57,5.13,0,33.41,0,2.92,2.56,0,0.75,4.32,0,0,349.72,0,1.27,0,0,2.48,16.06,2.45,9.18
108-118,0,0,0,0,21.24,0,1.5,1.31,0,0,0.81,0,0,304.94,0,0,0,0.6,0,7.3,0,8.81
120,0,2.75,0,0,28.96,0,6.34,0,0,0,15.09,1.38,0,580.85,0,0,0,0,0,3.82,0,4.86
