stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,52.75,1144.93,0,0,0,0,0,0,0,0,0,0,0,34.32,0,0,0,0,0,0
  5-6,82.04,1031.71,10.68,0,0,0,0,0,0,32.09,0,0,0,55.13,0,0,0,0,0,0
  7-9,19.88,40.63,25.92,0,33.54,0,0,22.65,0,435.25,12.94,0,182.24,0,12.73,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,153.89,3.56,0,51.42,0,0,0,9.11,0,0,0
 14-21,0,0,0,2.68,0,0,0,0,1.91,22.14,0.95,1.61,0,3.27,2.07,6.85,0,0.88,2,0
 24-34,0,0,0,1.96,1.22,0,0,0,0,7.39,0,0,0,0.81,0,0,0,0,1.67,0.71
 36-46,0,0,0,9.05,1.55,0,0,0,0,0,3.36,0,0,0.66,0,0,0,0,0,0
 48-58,0,0,0,0,2.12,0,1.68,0,0,3.6,0,0,0,0.42,0,0,0,0,0,0
 60-70,0,0,0,0,8.84,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
 84-94,0,0,0,1.48,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0
108-118,0,0,0,0.81,0,0.48,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
