stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,58.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.41,74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,23.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.58,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.89,7.25,0.95,0,0,0,4.95,0,0,0,0.91,0,0,0.86,0,1.24,68.07,0,0,0,0,0,2.35,3.51,21.26,0,0,0,0
 24-34,0,0,0,0,4.76,0,0,5.1,0,2.81,0,0,0,0,0,2.06,2.01,0,3.8,191.48,0,0,1.65,0,2,0,0,41.69,0,0,0,0
 36-46,0,0,0,0,0.67,0,0,24.97,0,1.37,0,0,0,0,0,0,11.86,0,1.98,175.95,0,1.29,0,0,1.14,0,0,43.93,0,0,0,0
 48-58,0,0,0,0,0,0,0,66.09,0,19.48,0,0,0.56,0,0,0.64,3.93,0.46,0.78,201.4,0.63,0.39,0,0,1.11,0,0,27.14,0,0,0,0
 60-70,0,0,0.65,0,0,0,0,54.35,0.65,2.44,0,0,0,0,0,0,8.1,0,0,153.74,0,0,0.76,0,0,0,0,18.63,0,0,2.56,0
 72-82,0,0,0,0,4.22,0,0,24.95,0,0,0,0.5,0.65,0,1.38,0,9.66,1.11,0,78.39,0,1.2,0,0,0,0,0,0.93,0,0,0,3.02
 84-94,0,0,0,0,0,0,0,56.54,0,11.21,0,0,0,0,0,0,7.6,0,1.15,74.12,0,0,0.62,0,2.17,0,0,5.56,0,0,0,0
 96-106,0,0,0,0,3.86,16.8,0,33.58,0,5.05,0,0,0,0,0,0,2.99,0,0,36.59,0,0,0.62,0,0,0,0,2.36,0,2.5,0,2.61
108-118,0,0,0,0,0,2.39,0.47,16.84,0,1.18,1.11,0,0,0,1.26,0,4.86,0,1.37,39.01,0,0.54,1.58,0,2.07,0,0,0,0.83,0,0,0
120,0,0,0,0,9.97,0,0,60.44,0,3.5,0,0,0,0,0,0,0,0,0,33.23,0,0,0,0,0,0,0,0,0,0,0,0
