stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,6.05,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,10.44,4.6,0,0,0,0,0,7.07,0,489.46,5.53,21.27,0,0,0,0
 24-34,0,0,0,0,0.61,0,0,0,0,0,0,0,2.18,0,0.85,0,12.99,36.75,0,0.84,0,0,4.43,0,3.34,645.97,12.24,28.28,0,1.55,0,0
 36-46,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,1.72,0,0,20.4,0,0,0,0,0.83,0,6.37,255.79,0.83,19.47,0,0,0,0
 48-58,0,0,0,0,5.21,0,0,20.84,0,4.95,2.64,0,0,5.62,0.83,0,2.64,55.5,0,0,0,0,0.54,0,2.7,187.9,0,32.83,0,0,0,0.72
 60-70,0,0,0,0,10.84,1.77,0,7.25,0,0,0,0,0,0,13.77,0,0,12.67,0,0,0,0,1.02,0,0,138.94,0,28.16,0,0,0,0
 72-82,0,2.88,0,0,17.92,0.56,0,9.16,0,0,0,0,0,0,1.88,0,0.81,36.59,0,0,0.67,0,0.95,0,1.44,103.29,0,11.18,0,0,0,0
 84-94,0,0,10.23,0,10.9,8.35,0,21.98,0.63,0,0,0,1.01,0,8.09,0.62,0.57,5.21,0,1.17,0,0,4,0,7.57,191.09,0,17,0,0.84,0,5.98
 96-106,0,2.02,7.9,0,29.64,4.18,0,15.89,0,0.86,2.39,0.92,3.06,0,15.07,2.72,1.73,44.12,0.58,0,0,0,3.73,0,0.75,232.46,0,26.23,0,0.68,0.87,0
108-118,0,0,2.36,0.74,16.75,3.79,0.46,15.15,1.29,0,0,0,1.54,0,3.51,0,6.13,21.64,0,0,0,0,1.73,0,5.49,111.5,0,12.76,1.37,0,0.68,1.68
120,0,1.16,0,0,21.12,5.69,0,8.76,1.19,0,0,0,0,0,0,0,0,55.06,0,0,0,0,0,1.12,3.84,67.82,0,18.38,0,0,0,0
