stage,axial,blastomeres,epidermis,erythrocytes,eye,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,vascular.smooth.muscle,vasculature
  3-4,0,93.84,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.66,9.53,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.77,0,0,0,0,7.55,3.25,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0
 14-21,0,0,0,0,0,24.56,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,20.54,0,0,0,3.06,0,0,0,0
 36-46,0,0,0,0,0,29.53,0,0,0,0.85,0,0,0,0
 48-58,0,0,0.38,0,0,19.09,0,0,0.71,0,0,0,0,0
 60-70,0,0,0,0,0,71.34,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,19.15,0,1.59,0,1.05,0,3.87,0.63,0
 84-94,0,0,0,0,0,29.65,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,69.83,0,6.86,0,1.15,0,0.77,0,0.82
108-118,0,0,0,1.98,0,65.97,0.45,4.69,0,0.42,0,0,0,0
120,0,0,0,0,0,45.1,0,0,0,0,0,2.52,0,0
