stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.67,67.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,45.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.92,0,0,0,12.41,0,17.02,0,0,0,0,0,0,0,0,0
  7-9,0,16.57,0,8.02,0,0,0,16.67,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0,166.87,0,0,0,34.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.75,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,14.06,0,0,14.35,0,0,0,0,0,0,0,0,0.92,0,0,0,0,3.43,0,0,8.11,42.53,2.22,0,0,0,0,9.53,4.43,0,0,8.51,3.74,0,1.45,0,0
 24-34,0,0,0,0,0,0,0,13.97,0,0,0,0,0,0,0,0.6,0,0,1.26,0,0.95,6.1,0,0,1.96,32.65,2.2,0.77,0,0,0,1.75,0,0,0,0,9.7,0,4.99,0,3.02
 36-46,0,0,0,0,0.61,0,0,10.43,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0.83,0,0,0.78,33.96,0,0,0.77,0,0,9.1,0,0,0,0,5.74,0,0,0,0
 48-58,0,0,0,0,5.79,0,0,13.58,2.29,1.09,0,6.48,0,1.75,0,0,0,0,0,0,1.33,10.1,0.96,0,0.79,31.78,0,0.38,0.74,0,0,0.43,0,0,0.39,0,5.82,0,1.13,0,6.46
 60-70,0,0,0,0,4.18,0,0,8.38,6.51,0,0,12.73,0,0,0,5.43,0,1.09,0,0,6.25,10.81,0,0,2.11,9.38,0,0,0,0,0,4.17,0,0,4.13,0,1.74,0,0.85,0,3.39
 72-82,0,0,0,0,3.75,0,0,11.59,5.94,0,0,6.67,1.17,0,0,0.53,0,0,2.8,0,2.16,9.99,0,0,5.31,10.38,0,0,0,0,1.1,4.96,0,0,1.69,0,0,0,0.64,0,8.08
 84-94,0,0,0,0,24.79,0.6,0,7.44,9.87,0,0,8.45,4.84,0,0,0,2.4,0.71,0,0,1.25,18.2,0,0,3.3,26.38,0,1.1,0,0,0,31.57,0,0,3.59,0,0,0,4.51,0,2.8
 96-106,0,0,0,0,27.53,0,0,25.5,7.02,2.4,0,11.63,9.58,0,0,3.45,0.76,0.89,0.59,0,0,47.6,0,1.16,6.63,13.44,0,1.22,3.33,0,0,77.28,0,0,0.6,0,0,2.52,8.02,0,0
108-118,0,0,0.92,0,19.39,0.74,4.58,10.14,13.52,14.17,0.59,15.53,2.9,0,1.49,3.13,2.95,0,2.83,2.67,4.07,48.15,4,0.92,4.13,15.49,0,1.13,0.43,0,1.06,88.05,0,1,0,0,0,0,3.84,2.54,2.91
120,0,0,0,0,35.39,0,0,13.88,20.2,3.24,0,2.99,2.43,0,0,5.55,1.4,0,1.11,0,0,52.47,0,0,14.59,68.63,0,0,1.73,0,0,54.86,0,0,5.11,0,0,0,0,0,0
