stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,19.62,3.13,0,0,13.57,0
 36-46,0,0,4.57,0,0,0,0.8,0,134.77,2.22,0,0,17.17,0
 48-58,0,0,6.66,0,1.96,0,0,0.45,154.39,0,0,0.62,16.01,0
 60-70,0,0,33.74,0,0,0,6.88,0,231.35,2.07,0,0,24.61,0
 72-82,0,1.73,29.44,0,0.88,0,0.87,0,142.76,0,0,0.86,14.07,0
 84-94,0,1.25,11.54,0,0,0,1.12,0,90.7,9.56,0,0,13.8,0
 96-106,0,0,12.35,0,0,0,0.9,0,61.14,3.13,0,0,0,0
108-118,0,0,14.19,0.5,0,0,0,0,90.28,0,0.76,0.62,0,1.03
120,3.52,3.04,7.73,0,2.33,6.54,0,0,253.85,0,0,0,8.17,0
