stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,melanocytes,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,xanthophores
  3-4,18.39,28.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,35.81,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.03,0,0,0,49.92,0,0,0,0,37.21,0,0,8.59,0,29.96,90.5,0
 24-34,0,0,0,0,0.7,0,2.31,0,28.06,0,1.26,1.23,5.95,24.64,0.75,3.65,2.25,0.74,10.71,58.14,0
 36-46,0,0,0,0,0,0,1.9,0,34.53,0,0,0,2.1,34.9,0,3.99,1.21,0,17.07,44.85,0.81
 48-58,0,0,0,0,0,0,6.34,0,34.61,0,0,0,0.47,26.56,0,5.41,4.04,0,1.06,41.94,0
 60-70,0,0,0,0,0,0.6,9.14,0,13.38,0,0,0,1.03,5.83,0,0,2.77,0,0,34.97,0
 72-82,0,0,0.56,0,0,1.53,1.91,1.4,42.52,0.66,1.28,0,0,3.13,0,6.04,0,0,1.88,17.97,0
 84-94,0,0,0,0,1.01,8.63,2.46,0,20.18,0,0,0,0,9.94,0,8.39,0,0,2.67,27.94,3
 96-106,0,0,0,0,0.7,5.98,0,0,11.51,0,1.95,0,0.93,5.29,0,14.21,1.88,0,0.7,26.98,0
108-118,0,0,0,1.83,1,3.12,2.67,0,29.96,0,4.34,0,0,9.84,0,9.02,0.48,0,2.81,14.74,0
120,0,0,0,0,6.38,1.68,0,0,12.94,0,0,0,0,1.22,0,13.86,17.62,0,1.87,14.01,0
