stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,59.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.26,127.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,35.53,0,0,8.91,0,0,0,0,0,0,0
 10-12,0,0,0,3.11,0,0,0,0,0,0,0,30.49,0,0,10.26,0,0,0,0,0,0,0
 14-21,0,0,5,8.2,0,0.85,0,0,1.05,6.67,4.31,76.72,0.83,0,0.84,0,10.96,9.3,21.45,0,0,0
 24-34,0,0,1.1,0,0,0.78,0.61,0,0,0.65,0,27.34,0,0,0,0.78,0,0,9.97,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,79.1,0,0.91,0,0,0,0,3.48,0,0,0
 48-58,0,0,0,4.68,0.41,3.04,0,0.88,0,0.85,0,47.11,0,1.2,0,0,0,0,11.36,0,0,0
 60-70,0,0,0,6.56,0,0,0,0,0,0.94,0,45.68,0,0,0,0,0,0,6.07,0,0,0
 72-82,0,0,0,5.56,0,0,0,0,0,0,0,21.82,0,3.5,0,0,0,0,0,0,0,0
 84-94,0,0,0.83,2.09,0,0,0,0,0,0,0,17.89,0,0,0,2.57,0,0,0,0.84,0,0
 96-106,0,0,0.65,7.08,0,0,0,0,0,0.8,0,16.17,0,0,0,0,0,0,0,0,0.61,0
108-118,0,0,0,15.85,1.5,1.37,0,0,0,8.63,0,15.36,0,0,0,0.52,0,0,4.97,0,0,0
120,0,0,0,0,1.44,0,0,0,0,0,0,29.03,0,1.29,0,0,0,0,0,0,0,3.35
