stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,24.61,4.45,0,0,0,4.44,0,0,0,0,0,0
 14-21,0,0,53.11,3.42,0,5.38,0,0,0,0,0,1.74,0,0.85,0.96,3.9,0,0,0,0,0,0.92,63.27,1.81,0,402.71,0,1.63,11.3,0,0,0,0,0
 24-34,0,0,14.68,0,0,24.17,0,6.14,0,0,0,1.77,0,0,3.6,18.25,0,0.95,2.45,0,0,0.69,223.38,1.86,0.76,3.55,0,0,34.6,0,0,3.27,0,1.39
 36-46,0,0,19.01,0,0,16.78,0,3.31,0,7.99,0,0,2.23,0,1.56,12.75,0,0,12.82,0,0,11.59,664.88,0,0,2.22,0,0,50.02,0,0,4.38,0,12.58
 48-58,0,0,24.84,0,0,64.63,0,5.62,2.87,12.28,0.92,0,0.53,0,4.47,5.04,0,1.26,20.1,1.98,0,4.96,1035.55,0,1.37,0,3.37,0,81.77,0,0,5.41,0,0.56
 60-70,0,0,40.7,5,0,161.87,0,1.66,2.82,15.6,0.72,0,12.43,0,4.7,4.28,0,0,27.89,0,0,6.19,1216.7,0,1.42,0,8.14,0,82.78,0.61,0,2.26,0,4.63
 72-82,0,0,28.24,1.57,0,344.24,2.12,8.06,7.86,21.26,0.54,0,4.02,0,22.27,4.33,0,0,79.25,0,5.77,5.74,1373.3,6.21,1.39,8.25,0,0,69.7,3.38,3.83,10.16,0,12.22
 84-94,0,0,39.03,0,0,203.51,0,8.04,0,20.68,1.77,1.52,12.83,3.2,12.67,0,1.24,0,62.33,0,4.72,5.7,727.44,0.65,3.86,0.81,6.99,1.42,36.46,2.38,1.91,0.55,0,1.5
 96-106,0,0,39.85,0,2.11,412.67,0,2.35,6.3,29.52,3.25,0,8.18,2.22,19.4,1.08,2.92,0,95.85,0,5.6,15.32,704.53,0,1.25,2.73,13.71,0.82,21.77,0,1.24,9.87,6.67,0
108-118,0,0.91,45.24,0,2.95,246.75,0,8.11,6,24.88,1.78,0,16.3,8.6,44.08,1.57,0.51,0,72.05,2.5,0.83,6.41,762.2,1.97,0,9.88,0,0,22.84,2.3,0,7.35,0,0.53
120,0,0,44.71,3.43,1.03,215.61,0,7.78,0,66.56,0,4.2,18.8,2.72,7.38,0,8.81,0,53.17,1.49,11.39,2.81,866.71,4.98,0,0,3.04,1.94,26.79,5.65,0,3.49,3.54,0
