stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,100.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.14,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.9,4.62,0,13.12,0,0,0,35.42,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,279.56,0,0,0,74.64,0,0,0,0,0,0,0,0
 10-12,0,15.48,0,40.89,0,0,0,54.57,0,0,0,0,0,26.33,0,0,0,0,0,0,0,0,0,0,534.22,0,0,0,138.92,4.52,0,3.8,0,9.11,0,0,0
 14-21,0,0,0,1.27,35.09,19.44,0,12.05,0,0.82,0,0.86,1.08,4.85,2.44,0.81,0,0,9.54,0,18.31,0,0,8.57,145.56,3.38,0,0,1.35,4.85,31.67,3.44,0.83,43.86,42.42,0,0
 24-34,0,0,0,0.75,5.79,5.6,0,10.89,0,0,0,3.51,0.67,0,0,0.94,0.79,0,0,0.64,11.45,0.71,0,7.66,116.67,0.64,0.69,1.62,0,5.63,0,0,0,7.51,30.24,3.79,2.54
 36-46,0,0,0,0,1.9,2.82,0,11.82,0,0,1.17,2.34,0,0,0,0,0,0,0,4.5,5.55,0,0,0,95.96,0,0,0,0,11.83,0,0,0,0,15.9,0.56,3.72
 48-58,0,0,0,0,10.8,0.43,0,8.2,0,0,1.36,5.98,0,0,0.92,0,2.79,0,1.88,1.78,3.63,1.31,0,0.73,87.92,0,2.07,0.4,0,7.98,0,0,0,0,32.97,0,11.99
 60-70,0,0,0,0,13.01,0,0,17.95,0,0,0,4.56,0,0,0,0.64,0,0,0,0,4.02,1.57,0,2.18,82.59,0,1.72,0,0,7.73,0,1.6,0,0,3.93,0,4.38
 72-82,0,0,0,0,2.85,3.71,0,63.49,0,0,0.87,18.57,0,0.6,4.52,0,0,0,0.49,2.83,11.94,0,0,2.34,89.03,0,5.25,0,0,1.81,0,0.5,0,0,6.66,4.34,0
 84-94,0,0,0,0,17.68,3.9,0,41.77,0,2.08,0,18.34,0,0,0,6.31,0,1.83,0,0,11.05,1.23,0,4.54,62.49,0,1.19,0,0,15.74,0,0,0,0,4.92,1.06,17.45
 96-106,0,0,0.91,0,11.26,10.99,0,26.57,0,0.84,0,23.98,0,0,3.88,1.77,0.58,2.63,2.78,0.6,16.97,3.38,1.76,3.49,42.94,0,4.47,3.84,0,12.45,0,0.89,0,0,2,5.57,4.21
108-118,0,0,0,0,12.98,7.75,3.27,11.79,0,2.97,0,38.81,1.36,0,2.69,0.98,4.47,1.34,4.4,0,13.36,1.5,0,3.28,39.63,0.43,1.68,1.01,0,21.19,0,0.43,0,0,4.97,2.42,0.83
120,0,0,0,0,22.74,1.64,0,24.31,1.43,1.03,0,19.37,0,0,7.42,2.5,0,2.39,0,0,9.41,1.65,0,8.13,41.97,0,0,11.98,0,34.16,0,0,2.07,0,0,0,14.33
