stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,127.9,2528.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0
  5-6,90.16,1069.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,31.75,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,46.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.27,4.22,0,0,46.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.95,0,0,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.36,20.47,0,0,112.46,0,0,0,14.26,0,0,0,0,0,0,0
 14-21,0,0,0,23.61,1.83,0,14.07,0,0,0,1.08,0,0,0,0,0,0,0,1.05,24.27,0,0,15.11,157.45,8.03,0,0,3.33,0,1.08,34.71,0,1.03,34.48,51.81,0,3.8,0,0
 24-34,0,0,1.6,10.68,0,0,17.48,0,1.56,1.38,0,1.79,0,0,0,0.63,0,0.86,0.59,62.32,0.79,2.43,29.53,141.23,21.32,0,0.77,0,0,0,0,0.94,1.16,8.52,33.45,0,14.54,0,0
 36-46,0,0,0.88,23.71,0,0,9.67,0,1.79,1.96,11.88,0.56,1.67,1.67,0,5.3,1.21,0.67,4.21,61.2,0.56,2.33,11.77,131.44,10.46,0.91,0.83,0,0,0,0,0,0,0.8,26.81,5.7,6.36,0,11.57
 48-58,0,0,0,3.86,0,0,13.3,1.76,0,2.24,11.67,0.58,1.19,1.63,0,0,0,0,5.73,44.93,0,9.85,7.36,20.95,5.84,0,3.81,0,0,0,0,0,0,0,16.1,0.9,3.35,0,6.88
 60-70,0,0,0,8.73,0,0,6.23,3.41,0,1.39,11.8,1.59,0,5.47,0,0.78,0,0,0.93,95.53,0,0,8.35,33.24,17.56,0,1.71,0,0,0,0,0,0,0,9.04,2.17,0.97,0,18.74
 72-82,0,0,0,4.27,1.42,0,18.18,2.08,2.07,2.87,14.57,0,0.66,0,0,6.22,0.9,0,0.49,131.43,1.2,1.99,9.92,34.08,12.77,0.88,2.67,0,0.71,1.9,0,0,0,0,8.71,1.02,24.35,1.31,0.63
 84-94,0,0,0,4.19,0.84,0,15.49,0,1.87,0.6,14.11,0.63,0,0.56,0,5,0,0,9.47,108.41,1.78,23.58,7.54,38.07,7.54,0,1.47,0,0,0,0,0,0,0,4.85,4.5,1.65,13.76,6.37
 96-106,0,0,0,15.81,6.85,0.92,10.05,0,0.56,1.94,13.68,1.96,1.22,2.35,0.72,1.9,0,0.7,2.44,106.5,0,6.61,12.71,55.82,3.45,3.35,5.37,0,5.75,0.58,0,0,0,0,3.61,0,9.52,5.47,6.3
108-118,0,0,0,8.6,2.03,8.88,28.95,3.12,5.81,3.36,4.7,2.65,0,3.89,1.16,5.42,0,2.83,5.94,127.87,0,9.06,10.86,38.22,15.28,0,2.36,0,5.39,0,0,0.43,0,0,3.3,1.8,11.64,6.23,11.61
120,0,0,0,20.2,2.03,0,6.54,1.58,1.28,2.75,17.62,1.01,0,1.66,0,2.11,0,0,9.24,98.99,0,0,6.4,61.32,7.33,0,0,0,0,0,0,0,0,0,0,0,10.78,0,1.1
