stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.03,9.99,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,2.96,43.63,0,0,9,0,1.76,7.37,1.7,0,2.53,14.47,0,0,0,0,0
 24-34,0,0,0.77,0,0,4.9,0,0,0,0.75,0,0,0.9,2.27,0,25.02,0,0,4.76,0,0,0.78,81.75,2.59,5.7,9.78,0,0,0,0,0,0,13.18,0,0,0,0,4.09
 36-46,0,0,0.68,0,0,5.93,0,0,0,0,0,0,5.08,0,0,18.67,0,0,13.76,0,0,4.46,132.71,0.56,1.53,6.49,0,0,0,1.19,1.78,0,24.41,0,0,2.02,0.78,0
 48-58,0,0,4.12,0,0,25.56,0.62,0,0.96,4.1,0,0,25.98,0,0,14.52,0,1,16.82,0,5.63,10.71,100.14,8.75,3.28,6.73,0,0.48,0,0,0,0,7.99,0,0.64,13.07,0,0
 60-70,0,0,8.21,0,0,37.53,0,1.37,0.91,14.92,0,0,39.51,0,0,17.63,1.19,0,22.53,0,1.89,6.46,119.74,0,0,5.42,0,3.05,0,0,0.86,0,7.58,0.61,0,3.7,0,0
 72-82,1.83,0,16.8,0.72,0,81.22,0,0,0.79,55.49,2.27,0.55,226.89,3.76,0,32.46,0,6.34,104.37,0,0,11.38,166.91,1.06,1.35,13.23,9.03,8.68,0,0,0,0,8.22,2.31,1.44,44.35,3.34,0
 84-94,4.08,0,21.62,0,0,47.26,1.16,1.23,1.35,76.1,2.05,0,311.39,2.98,5.8,46.51,0,0,40.75,1.58,2.01,10.48,180.79,0,4.15,5.22,0,4.65,0,0,0,0,21,13.78,1.57,35.59,0.63,0
 96-106,4.12,0,54.62,0.68,0,33.63,0,1.56,1.54,56.49,3.07,1.89,557.73,2.84,0,61.36,2.87,0,73.74,0,2.51,28.75,265.57,1.37,2.67,16.98,0,17.34,0,0,0,0,8.83,24.43,0,23.07,1.78,0
108-118,3.28,0,51.21,39.42,5.65,38.23,0,3.17,0.57,65.05,10.12,0.8,727.74,5.89,1.37,47.19,4.19,0.66,116.02,2.16,2.13,15.03,333.86,0,10.54,6.56,0,9.36,0,0.42,0,0,4.96,28.36,2.21,19.91,2.19,0
120,0,0,119.46,4.01,2.19,65.68,0,4.59,0,206.92,18.88,0,2196.11,20.96,0,142.01,2.51,0,225.57,3.43,2.13,40,784.56,3.68,10.09,11.23,0,7.34,0,1.22,13.04,0,1.34,37.88,0,49.44,0,0
