stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,49.56,0,10.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.16,5.42,0,0,0,0,0,0,0,0.81,0,2.04,10.22,0,0,0,0,0,2.24,0,0,0,5.25,0
 24-34,0,0,0,2.14,0,0,0,4.47,0,0.71,1.13,0,1.41,0,1.28,12.39,0,0,0,0,0,0,7.23,0,0,23.51,0
 36-46,0,0,0,0.79,0,0.78,0,31.66,0.92,0,0,0,5.25,0.89,0.95,26.92,0,0,0,5.7,0,0,4.36,0,0,14.46,0.78
 48-58,0,0,0,0.52,5.2,0.77,0,42.75,6.39,0.92,0,0,0.6,0.72,11.22,29.53,1.81,0,0,0,0,0,1.62,0,0.4,56.09,0
 60-70,0,0,0,0,0,0.61,1.31,44.41,1.22,0,0,0,6.42,0,0.59,13.46,0,0,0,0,0,0,2.24,0,0,102.04,0
 72-82,0,0,0,0,9.33,9.85,0,55.55,11.29,0,2.46,1.36,19.82,0.56,0,19.49,0,0,4.52,0,0,0,9.5,0.87,0,177.48,5.53
 84-94,0,0.73,0,0,7.96,0.6,0,37.92,5.48,0,1.96,0,7.5,0.82,6.5,23.67,0,0,1.65,0,0,0,0,0,1.03,140.86,3.99
 96-106,0,0.94,0,0,0,8.8,7.2,35.24,0,0.63,1.55,7.43,4.86,0,0,12.82,0,0,11.89,0,0.6,0,7.32,0,4.73,141.05,1.85
108-118,0,4.66,0,1.49,0,7.18,0,16.58,2.91,0,0,0,10.4,11.15,3.79,2.84,0,0,11.03,0,0,0,1.08,0,0.8,144.54,3.82
120,0,0,0,0,0,0,0,59.47,0,0,17.29,0,20.32,0,6.84,19.48,0,0,0,0,0,0,0,0,0,166.68,10.35
