stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,56.14,1397.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,166.39,2720.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.43,15.57,0,0,42.14,48.5,0,0,0,0,0,0,0
  7-9,44.06,79.91,58.23,0,0,177.2,0,0,0,0,0,31.94,0,0,0,0,0,0,0,0,0,0,1184.69,24.94,0,0,397.17,0,0,0,0,0,0,0,0
 10-12,4.89,27.41,75.7,0,22.06,116,0,0,0,0,0,37.46,0,0,0,0,0,0,0,0,0,0,1124.95,83.69,0,0,416.53,0,0,49.7,0,12.02,0,0,0
 14-21,0,0,0.88,12.43,1.93,4.04,0,0,0,2.9,0.82,0,0,0,0,0,0,1.46,0,4.13,0,4.86,62.51,5.24,0,1.24,1.02,0,15.03,2.37,1.33,3.89,23.51,0.98,0
 24-34,0,0,0,5.06,0,13.63,0,0,0.64,1.18,0,0,0,0,0,0.7,2.2,0,1.47,25.95,0,5.16,122.98,0,0,2.38,0,2.43,0,0,0,3.38,41.51,3.16,0
 36-46,0,0,0,8.64,0,25.21,0,1.84,0,1.38,0,0,0,0,0,0,0.79,0,0,8.15,0,2.17,67.13,0,0,0.83,0,7.13,0,0,0,0,24.19,2.91,0.98
 48-58,0,0,0,2.16,0,17.11,0,0,0,6.5,0,0,0,0,0,0,0,3.32,0,6.9,0,0.6,67.18,0,0,0,0,0,0,0,0,0,17.51,0.53,0
 60-70,0,0,0,0,0,23.39,0,0,0,10.62,0.85,0,0,0,0,0,0,0,0,4.45,6.33,0,51.02,0,0,0,0,0.75,0,0,1.44,0,23.11,0,0
 72-82,0,0,0,1.84,0,16.05,0,0,1.41,6.18,0,0,0.5,0.63,0,0,0.74,0,0,15.67,1.31,2.33,25.13,0.56,1.3,0.51,0,0.64,0,0,0,0,4.4,1.91,0
 84-94,0,0,0,0,0,12.91,0,0,0,5.29,0,0,0,0,0,0.6,1.52,0,0,6.92,0.85,0,6.89,0,0,0,0,1.49,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.64,0,0,1.5,0.83,0,0,0,1.54,0,0,0,0,6.33,0,0,2.61,0,0,0,0,0.92,0,0,0,0,10.82,0,0
108-118,0,0,0,0.99,0,15.79,0,0,0.88,4.82,0,0,0,0,0,0,2.71,0,0,4.7,0,1.33,13.11,0,0,0,0,2.55,0,0,0,0,0,7.3,0
120,0,0,0,4.84,0,15.65,0,0,0,0,0,0,1.85,0,0,0,0,0,0,4.25,0,3.77,13.19,0,0,0,0,0,0,0,0,0,0,0,0
