stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,mucous,neural,otic,periderm,pronephros,spinal.cord
  3-4,9.64,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.35,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.55,0,0,0,0
 14-21,0,0,0,0,0,0,1.66,0,1.84,0,0.83,0,0
 24-34,0,0,0,0,0,0,0,0,8.02,0,0,2.86,1.22
 36-46,0,0,0,0.7,0,0,4.57,0,8.42,0,0,0,1.08
 48-58,0,1.74,0,11.67,0.68,0,0,0,3.81,0,0,0,2.33
 60-70,0,3.27,0,0,1.4,0,0,0,12.94,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,2.54,1.04,0,0,2.17
 84-94,0,0,0,0,0,0,0,0.57,5.38,0,0,0,0
 96-106,0,2.04,0,0,0,0,0,0,0,0,0,0,1.96
108-118,0,0,0,0,3.58,2.72,0,0,1.47,0,0,0,1.22
120,0,0,8.42,0,0,0,0,0,0,0,1.1,0,0
