stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,203.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.88,599.67,0,18.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.53,0,0,0,54.72,0,138.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,29.66,0,21.92,0,0,10.48,0,0,0,4.81,0,0,0,0,0,0,0,0,0,538.14,46.97,0,0,785.39,0,59.22,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.56,0,23.77,0,6.59,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,272.95,0,0,0,213.15,0,23.19,0,0,28.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,3.54,24.75,1.25,0.98,0,0.89,0,100.37,1.33,13.65,0,1.96,5.09,14.47,0,0,0,0,0
 24-34,0,0,0,0,3.66,2.34,2.1,0,0,0,0,0,7.51,0,0.96,1.53,6.38,0,0,2.31,71.95,0.63,1.26,0,0,0,167.47,0,0,0,0,3.84,16.72,0,0,5.02,0,0
 36-46,0,0,0,0,4.66,0,2.49,1.17,2.02,0,0,0,0,0,0,0,4.22,0,0,0.79,47.06,0.65,0,0,0,0,159.3,0,0,0,0,0,14.19,0,0,0,0,0
 48-58,0,0,0,0,1.65,0,8.39,0.52,3.35,0,0,0,3.65,0,0.65,0,3.9,1.11,0.37,2.45,36.01,0,1.22,0,0,0,134.5,0,0,0,0,0,6.08,0,0,3.17,0,0
 60-70,0,0,0,0,7.59,1.83,33.13,2.91,0.87,0,0,0,0.71,2.99,0,0,6.05,2.49,0,0,65.9,0,0,0,0,1.53,143.93,0,0,0,0,0,10.16,0.73,1.57,0,0,8.73
 72-82,0,0,0,0.56,13.61,0,8.47,0.64,0,0,0,0.53,4.73,0,0.92,0,17.66,0,0,1.33,73.31,7.76,0,0,0,0.89,108.05,0,0,0,0,0,4.83,2.32,1.49,2.32,0.93,0
 84-94,0,0,0,0,19.76,0,14.84,2.83,1.35,0.62,0,0,4.83,0,1.43,0,7.04,2.34,0,0.56,26.28,0,0,0,0,0,295.44,0,0,0,0,0,0,0.9,0,3.08,0,0
 96-106,0,0,1.1,0,35.08,1.01,21.85,7.18,2.97,3.05,0,0.9,6.44,0,5.13,0,21.31,5.05,0,1.81,28.75,0,0,0,0,0,239.41,0,0,0,0,0,9.73,0,0,0.6,0,3.52
108-118,0,0,0,0,35.04,7.95,9.18,8.77,1.18,6.21,0,2.03,2.7,0,4.92,0.55,15.21,3.81,0,0.59,25.84,0,0.52,1.59,0,0,152.27,0,0,0,0,0,2.99,0,0.5,2.21,1.17,0
120,0,0,3.29,0,13.08,2.15,13.01,2.47,3.47,0,0,0,1.39,0,0,0,12.7,4.25,1.26,0,24.11,0,0,1.5,0,0,92.22,0,0,0,0,0,0,2.06,0,0,0,0
