stage,blastomeres,endoderm,erythrocytes,eye,glial,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,15.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.45,0,0,0,0,9.46,0,0,11.53,0,0
 14-21,0,0,0,0,0,0,0.86,0,0,0,0,0
 24-34,0,0,0,1.41,0,0,4.03,0,0,0,1.18,0
 36-46,0,0,0,0.71,0,1.06,12.16,0,0,0,0,2.54
 48-58,0,0,0,0,1.24,0,5.9,0,0,0,0,1.27
 60-70,0,0,0,0,0,0,3.26,1.12,0,0,0.94,0
 72-82,0,0,0.89,0,1.27,1.51,7.3,0,0,0,0,2.01
 84-94,0,0,0,1.24,0,0.93,1.13,0,0,0,0,0
 96-106,0,0,0,0,1.92,0,0,0,0.68,0,0,0
108-118,0,0,1.44,0,0,0,3.76,0,0,0,0,0
