stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,3.3,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24,0,0,0,5.88,0,0,0,0,0,0,0,0,0
 14-21,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.63,0,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
 36-46,0,0,38.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,7.22
 48-58,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0.8,0,0,0,0
 60-70,4.69,0,548.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0.93,0,0,0,0
 72-82,11.16,4.35,2534.78,0.75,0.68,8.14,3.18,1.44,0,0,8.94,0,2.32,13.67,0,0,0,64.76,0.72,0,4.6,0,0,0.75,0,0,1.01,0,8.67,2.38,6.24
 84-94,11.07,5.14,3016.19,0,0,1.36,8.31,1.01,0,0,0,0,0,9.54,1.39,0,1.85,14.46,0,0,0,0,2.56,0.8,1.26,0,0,0,0,0,0
 96-106,3.22,0,2864.9,1.94,0,0,13.36,2.32,0.59,1.37,0.66,0.7,0,32.04,0,0,6.02,49.75,0,8.35,0,0,0,3.04,0,2.39,0,0,4.18,0,10.5
108-118,7.33,5.51,2995.45,0,0,0.94,4.91,0.66,1.05,0,0,0,0.51,30.26,0,0,0,58.97,2.66,0.83,0.73,0,0,4.41,0,0,0,1.29,0.92,0,0
120,31.08,2.28,4211.24,2.34,0,0,6.75,8.64,0,0,0,1.42,0,18.32,1.02,4.59,0,148.29,0,0,0,0,0,7.59,0,1.6,2.39,0,6.69,0,0
