stage,epidermis,eye,glial,gut,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,12.05,3.55,0,0,0,0
 10-12,0,0,0,0,0,0,3.6,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,0,1.82,0,0,0,0,0
 36-46,0.91,0,0,0,0,3.75,0,0,0,0,0
 48-58,0,5.61,0.51,0,0.81,10.11,0,0,0,0,0
 60-70,0,1.59,1.28,2.28,4.04,16.05,0,1.81,0,1.82,0
 72-82,0,13.02,2.07,0,0.57,15.72,0,0,0,0,0
 84-94,0,19.59,0,0,0,28.03,0,0,0,0,1.57
 96-106,0,10.6,2.19,0,0,17.58,0,0,0,5.13,0
108-118,0,20.32,0,0,5.48,23.94,0,0,0,2.82,0
120,0,0,0,0,1.07,26.87,0,0,0,16.89,0
