stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,28.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.77,0,0,0,0,0,0,0,0,0,0,4.18,4.82,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,6.15,0,0
 24-34,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0
 48-58,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0.58,0,0,0
 60-70,0,0,0,0,0,0,6.41,0,0,0,0,0.67,0,0,0,0,1.44
 72-82,0,0,0,0,0,0.59,8.73,5.65,0,0,0,1.77,1.23,4.47,0,0,0
 84-94,0,0,0,3.42,0,0,19.53,0,0,0,0,0,0,9.71,0,0,0
 96-106,0,0,0,0,0.75,2.14,32.28,0.96,0,1.18,0,4.31,0,14.5,0,0.67,1.22
108-118,0,3.13,0,0,0.43,0,33.29,2.04,0.68,0,0,1.7,0,8.07,0,0,0
120,0,0,0,0,0,0,43.39,0,0,0,19.08,0,0,1.75,0,0,0
