stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.89,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.36,0,0,0,9.46,0,0,0,0,0,0,0,0,0
 10-12,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,18.57,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,0.81,0,0,1.67,0,0,0,0,0,0,0,1.17,0,1.9,28.77,0,0,0,0,0,1,0,1.85,4.22,0,0,0,0
 24-34,0,0,0,1.28,0,0,5.44,0,0,0,0,0,0,0,2.31,0,2.99,72.46,0.69,0,0,0,1.48,0,0,0,11.19,0,0,1.1,0
 36-46,0,0,0,1.91,0,0,8.82,0,0,0,1.26,0,0,0,2.93,0,0.92,114.72,0,1.01,0.6,0,19.6,0,2.03,0,22.39,0,0,0.75,0
 48-58,0,0,0,8.07,0,0,41.04,0,0.85,0,6.39,0,0,0.38,15.25,0,4.03,155.43,0,3.55,6.68,0,7.68,0,0,0,23.22,0,0,3.09,0
 60-70,0,0,0,2.63,0,0,71.68,0,4.47,0.62,1.6,0,0.78,0,8.27,0,0.6,141.48,0,0,0,0,12.35,0,0,0,9.21,0,0.84,2.29,0
 72-82,0,0,0,3,0,0,32.51,0,0,0,10.25,1.62,1.18,0,9.65,0,3.28,98.51,0,1.3,0,0,3,0,0,0,0.63,0,0,1.14,3.65
 84-94,0,0,0,3.82,0,0,27.41,0,0,0,13.11,0,0,1.41,6.76,1.01,2.38,35.11,0,0,0.7,0,5.77,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.84,0.68,0,11.72,0,0,0,2.76,0,3.74,0,7,0,0,16.48,0,0,1.66,0,6.03,0,0,0,0,0,0,0,0
108-118,0,2.52,0,3.21,0,0.53,26.23,0,0.88,0,5.82,8.2,0,0,10.07,0,0.46,28.41,0,0,0,0,0,0,0,0,0,1.03,0,0.49,0
120,0,0,0,27.62,0,0,18.44,1.26,0,0,0,0,0,0,53.84,0,0,58.54,0,0,3.28,0,3.54,0,0,0,5.58,0,0,0,0
