stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0
  5-6,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,13.01,0,0,0,5.57,0,6.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.94,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0.85,10.49,1.81,0,0,0,0,112.22,0,7.87,3.1,0,0,7.2,0,0
 24-34,0,0,0,3.23,0,0,10.74,0,0,0,0,0,0,1.21,0,1.1,0,0,2.2,7.56,1.28,0,4.62,56.47,0,0.76,0,0,0,366.41,0.83,0.9,13.96,0,0,22.09,0,0
 36-46,0,0,0,1.83,0,0,5.12,1.18,3.07,0,0.87,0,0,1.7,3.99,0,0,0.92,0,15.57,3.82,0,2.64,61.26,0,0.93,0.74,0,0,454.91,0,0,12.13,0,0,26.36,0,0
 48-58,0.58,0,0,0,0,0,17.33,0,2.2,0,0.92,0,0,0,0,0,6.09,0,0,16.71,0,1,2.69,74.79,0,0,0.4,0,0,344.39,0,0,26.07,0,0,4.71,0,0
 60-70,0,0,0,1.4,0,0,53.78,0,1.31,1.06,10.5,0,0,0,0,4.59,0,0.84,0,16.51,0.88,0,0,75.79,0,0,0.65,0,0,316.03,0,0,13.69,0,2.38,7.14,0.59,0
 72-82,0,0,0.69,4.88,0,0,65.78,0,1.72,0,4.12,0,0,0,0,0,0,0,0,13.96,1.8,1.17,0.71,87.9,0,1.16,5.53,0,0,92.84,0,0,14.7,2.31,0,2.1,1.7,0
 84-94,0,0,0,3.88,2.32,0,100.34,0,0,0,5.18,0,0,0,2.45,2.53,0,3.43,3.11,7.33,3.14,0,1.44,59.17,0,0,0,0,1.49,517.89,0.56,0,17.19,0,1.79,4.89,3.95,0
 96-106,0,0,3.45,19.19,0,0,127.22,0,0,0,8.53,2.05,0,0,0.69,1.14,0,1,0,19.83,0,3.4,1.11,62.15,0,1.1,0,0,0,195.65,0,0,3.37,0,2.4,8.99,1.82,4.01
108-118,0,0,0,12.36,0.61,0,68.67,0,2.41,0.48,7.47,3.53,0,0,0,6.61,0,1.02,0.54,14.71,1.42,0,1.21,82.73,0,1.31,4.72,0,0,225.75,0.76,0,0,0,0,2.45,0.48,0
120,0,0,0,21.51,0,13,169.96,0,0,0,5.99,10.24,0,3.15,0,2.51,0,0,0,26.64,1.06,0,1.02,186.78,0,3.09,0,0,0,103.4,0,0,0,0,0,11.6,1.05,0
