stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.94,0,0,0,6.69,0,0,3.79,0,0,0,0,0,0
 10-12,0,0,17.84,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,54.87,3.44,0,0,19.8,0,0,0,0,3.49,3.11,0,0,0
 14-21,0,0,0,1.23,0,0,0,0,1.12,0,0,0.85,0,0,1.04,0,0,19.55,0,0,0,0,0,0,0,0.99,1.22,0,5.97,0,0
 24-34,0,0,0,0,0,0,3.16,0,1.44,0.71,0,0,0,0,1.25,0,0,39.4,0,2.39,0,0,0,0.71,0,0,0,0,17.5,0,0
 36-46,0,0.73,0,0,0,0,3.89,0,1.13,0,0.76,0,0,0,4.16,0,0.72,107.51,0,4.13,0,0,0,3.77,0,0,0,0,19.59,2.52,0
 48-58,0,0,0,0,0,0,18.66,0,1.47,0,0,0,0.44,0,1.57,0,0,102.1,0,2.48,0,0,0,0,0,0,0,0,9.45,0,0
 60-70,0,0,0,0,0.59,0,30.83,0,8.31,0,0,0,0,0,2.3,0.95,0,120.71,0,4.15,0,0,0,0,0,0,0,0,26.98,0,0
 72-82,0,0,0,0.85,6.34,0,45.16,0.62,7.91,0.66,0,0,0,0,4.83,0,0,171.71,0,4.54,0,0,0.77,0.99,0,0,0,0,9.57,0,0
 84-94,0,0,0,0,2.46,0,29.56,0,1.86,0,0,0,0,1.97,9.28,0,0,149.9,0,4.79,1.42,0,0,0,0,0,0,0,2.07,0,0
 96-106,0,0,0,0,2.54,0,72.39,0,4.59,0,0,1.98,0,0,1.41,0,0,110.47,0,13.2,0,0,0,0,0,0,0,0,7.15,0,1.17
108-118,0,0,0,0,5.7,0.57,26.73,0,9.44,0.43,0,0,0,0,5.22,0,0,119.86,0,4.14,2.11,0,0,0,0,0,0,0,4.62,0,0.69
120,0,0,0,4.47,0,0,13.66,8.81,5.55,0,0,0,0,0,5.09,0,0,92.64,0,3.73,5.96,0,0,0,0,0,0,0,0,0,0
