stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.19,442.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,19.74,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.89,5.98,0,0,53.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,28.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.67,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.62,11.45,3.5,4.57,0,0,0,2.81,0,0,0,0,0,0,0,0,3.01,0,0,5.64,97.27,0.87,0,0,1.93,1.14,20.04,0.82,0,17.03,24.65,0,0,1.97,0,0
 24-34,0,0,0,0,2.21,0.67,11.92,0,0,0,4.44,0.67,0,0,0,0,0,0,0,10.35,0,0,9.92,135.02,0,0,2.33,0,1.63,0,0,0,2.92,31.67,0,0,4.22,0,3.18
 36-46,0,0,0.85,0,0,0,5.52,0,0,0.6,4.16,0,0,0,0,0,0,0,0,12.8,7.69,1.13,1.25,47.46,0,0,0,0,0.59,0,0,0,0,11.9,0,0,1.37,0,0
 48-58,0,0,0,0,0,0,27.48,0,0,0.72,4.43,0,0,0,0,0,0,2.18,0.54,7.85,0,0.95,2.69,56.64,0,1.31,0,0,0.38,0,0,0,0,10.58,0,0,1.27,0,0
 60-70,0,0,0,0,7.01,0,31.05,0.61,0.68,0,15.65,0,0,0,2.41,0,0.67,1.92,0,10.95,0.84,0,0.67,40.3,0,0,0,0,0,0,0,4.56,0,4.25,0,0,0.87,0,0
 72-82,0,0,0.69,0,1.67,0,20.41,0,0.73,1.62,7.07,0,2.07,0,0,0.93,1.43,0,0,12.05,0.73,0.67,1.12,27.62,0,0,2.92,0,0,0,0,0,0,4.89,1.33,0,0,0.91,0
 84-94,0,0,0,1.04,0,0,14.87,0,0,0,3.81,0,0,1.81,0,0,0,0,0,14.31,0,0,0,15.93,0,0,0,0,4.81,0,0,0,0,1.5,0,0.84,3.29,0,0
 96-106,0,0,0,0,2.59,0,9.31,0,0,0.69,2.64,1.04,0,2.97,0.83,1.46,0,0,0,12.99,0,0.76,5.49,27.49,0,0.57,0,0,11.02,0,0,0,0,0,0,2.14,3.11,0,0
108-118,0,0,0.79,0,6.58,0.75,7.87,0,0,0,3.67,0.54,0,0,0.47,0,0,3.34,0,11.42,1.82,1.58,2.54,18.21,0,0,0,0,0,0,0.58,0,0,2.97,0,0,0,1.17,0
120,0,0,0,0,8.35,0,7.4,0,0,0,4.93,0,0,0,0,0,0,0,0,3.88,0,0,2.49,11.56,0,0,2.49,0,4.45,0,0,0,0,0,0,4.12,5.24,0,0
