stage,epidermis,erythrocytes,eye,fin.epithelia,gut,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal.cord
  7-9,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,3.81,1.17,0.93,0,0,3.32,0.86,0,0,0,7.58,0,0,0,2.21,0.93
 24-34,0,0,1.34,0,0,0,0,0,0.66,1.01,0,0,1.35,1.53,0,1.3
 36-46,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0.56,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.48,0,0,3.33,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.58,0,0,2.45,0.81,0,0.72,0,0
 84-94,0,0,0.75,0,0,0,0,0,0,0,0,0,0,2.39,0,0
 96-106,0.57,10.01,0,0.89,0,0,0,0,0,0,2.18,0,0,1.5,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0
120,0,0,0,0,9.09,0,0,0,0,0,0,0,0,6.53,0,0
