stage,blastomeres,erythrocytes,glial,mesenchyme,neural,olfactory,spinal.cord
  5-6,6.73,0,0,0,0,0,0
 24-34,0,0,0,0,1.22,0,0
 48-58,0,0,0,0,6.58,0,0
 60-70,0,0,0.65,0.94,4.92,0,0
 72-82,0,0,0,0,10.73,0,1.36
 84-94,0,0,0,0,0,48.43,0
108-118,0,0,0,0,0,12.43,0
120,0,1.9,0,0,0,0,0
