stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,128.65,3953.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.32,0,0,0,0,0,0,0,0,0
  5-6,137.76,2506.91,0,0,0,0,0,0,0,0,0,34.15,0,0,0,0,0,0,0,0,0,28.41,0,0,0,15.48,0,32.71,0,0,0,0,0,0,0,0,0
  7-9,7.41,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.72,0,0,0,84.8,0,3.28,24.49,0,0,0,0,0,0,0,0
 10-12,4.89,5.18,0,0,0,0,0,3.33,0,0,0,8.01,0,0,0,0,0,0,0,0,0,124.13,25.2,0,0,38.65,0,0,3.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.23,11.53,4.69,0,1.97,0,0,0,0,1.99,0,0,0,1.59,2.17,0,0,0,39.29,1.18,0.89,2.51,0.86,0,2.65,1.4,2.48,2.23,1.81,13.7,0,0,3.49,0
 24-34,0,0,0,0.7,3.44,0,0,12.42,0.67,2.95,0,0,1.23,0.71,0,0.72,0,8.76,0,0.69,3.58,131.24,0.87,1.36,0.95,0,0,0.61,0,0,0,0,23.46,0,0,19.33,0
 36-46,0,0,0,0,0.68,0,0,20.62,0,1.72,0,0,0,0,0,0,0,0.68,0,0.68,3.3,133.05,0,4.18,0.67,0,0,1.45,0,0,0,0,25.6,0,0,5.52,0
 48-58,0,0,0,0,4.04,0,0,68.07,0.43,37.6,0,0,0.54,0,0,0.5,0,13.12,0,1.34,0,143.24,0,5.13,0.39,0,0,0,0,0,0,0,27.2,0,0,7.59,0
 60-70,0,0,0,0,4.68,0.67,0,157.75,4.55,19.77,1.06,0,0.66,0,4.2,0,0,43.74,0.62,0,0,397.88,0,2.59,3.63,0,1.22,0,0,0,0,0,15.09,0,0,6.56,0
 72-82,0,0,0,0,4.42,13.69,0,172.57,0,14.38,0.51,0,0,0.49,0,0,0,48.87,0.92,2.07,1.54,444.34,0,4.47,0,0,0,4.84,1.65,0,0,0,22.67,3.98,0,18.08,1.97
 84-94,0,0,0.81,0,10.07,0.69,0,119.57,0,38.82,0.63,0,0,0.73,1.32,0,0.6,25.66,0,4.17,0,279.02,0,10.72,3.18,0,0,3.2,0,0,0,0,4.95,3.74,6.41,5.44,0
 96-106,0,0,1.06,0,6.94,0.72,1.14,82.42,0,10.95,2.28,0,0.58,1.25,0,0,0.73,22.49,4.72,2.51,0,180.23,0,2.65,6.16,0,0,1.22,0,0,0,0,6.75,0,0,7.84,0
108-118,0,0,0,0,2.81,0.66,0.97,129.56,0,15.33,5.43,0,0,3.05,0,0,1.96,21.59,4.91,0,0,301.43,0,0,3.31,0,0,1.97,0,0,0,0,8.25,1.55,2.72,13.67,0
120,0,0,0,0,1.16,0,0,67.05,0,14.31,0,0,0,5.34,0,0,0,15.42,0,0,1.9,465.12,0,0,0,0,0,1.57,0,0,0,0,3.38,0,7.67,12.81,0
