stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,104.65,1034.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.56,0,0,0,0,0,0,0,0,0,0
  5-6,107.39,1986.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,50.79,0,27.08,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.62,0,16.88,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.22,5.42,0,0,72.93,0,32.2,9.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.75,8.45,0,0,58,0,19.76,0,0,0,6.54,0,0,0,0,0,0
 14-21,0,0,0,1.74,132.33,6.08,0,5.68,0,0,0,3.85,0,0.92,35.84,0.81,0,0,0,4.42,12.2,0,0,3.73,18.88,9.14,5.23,1.54,0.86,0,176.79,0,11.77,0,2.9,8.86,0,0,21.69,0,21.02
 24-34,0,0,0,0.6,79.13,8.59,0,12.48,0.75,0.67,0.77,3.58,4.01,3.45,101.48,8.19,4.82,2.76,7.01,29.53,20.97,3.33,0,4.66,65.5,42.59,3.14,2.1,0,0,140.68,0,0,0,2.02,4.08,0,0,77.05,0,154.21
 36-46,0,0,0,0.72,53.93,5.73,0,22.7,9.17,1.17,2.52,1.73,1.26,0.69,226.65,10.43,52.59,2.03,9.17,128.61,22.24,5.79,0,8.1,58.95,32.68,3.37,0,0,0,173.73,0,0,0.94,0,7.8,0,0,104.02,0,361
 48-58,0,0,0,0.5,52.53,1.27,0,19.35,3.99,0.41,3.41,0.49,1.46,0,176.21,1.94,58.14,1.2,4.93,67.42,28.41,4.47,0,5.55,49.38,4.37,1.48,1.28,0,0,44.71,0,0,0.57,0,3.72,0,0,57,0,161.75
 60-70,0,0,0,0,35.52,5.62,0,23.54,12.85,1.24,2.17,12.36,9.3,0,254,0.71,90.77,1.51,0,19.24,33.96,1.86,0,4.36,20.83,14.75,0,3.04,0,0.66,40.7,0,0,0.73,0,0.57,0.92,0,60.25,3.5,186.13
 72-82,0,0,1.51,0,25.12,18.59,0,20.03,3.87,3.37,8.66,55.7,1.89,1.1,188.03,3.01,92.76,0,0,22.6,39.78,3.29,0,0,29.41,0.61,3.54,0.67,0,2.2,41.61,0,0,1.99,0,4.26,0,4.31,64.22,0.72,68.5
 84-94,0,0,2.71,0,60.58,22.67,0,33.15,12.45,0,4.43,100.07,1.83,0,250.18,5.13,97.31,0,1.13,51.36,62.94,3.87,1.9,0.68,19.56,0.76,3.1,0.67,0,0,113.36,0,0,0.62,0,2.73,0,0.59,85.02,11.05,48.47
 96-106,0,0,1.41,0,35.48,29.1,0,28.68,10.41,3.33,71.11,71.97,0,0,238.31,5.81,99.66,2.82,1.63,16.14,70.41,5.79,9.68,2.56,44.21,3.4,5.42,0.85,0,2.7,66.08,0,0,0,0,0,0,2.54,107.45,5.3,48.88
108-118,0,0,0,0,42.22,20.51,0.5,29.2,3.4,7.12,48.02,76.88,0,0.43,224.84,10.7,181.97,0.82,5.36,32.21,90.03,7.18,5.3,8.25,20.65,8.79,1.59,0.58,0,12.03,92.44,0,0,1.82,0,4.39,1.2,0,124.46,0,65.84
120,0,0,0,3.17,57.95,17.46,2.68,15.95,4.81,8.15,22.55,47.9,0,0,418.67,1.29,198.01,1.15,0,17.41,123.12,1.12,19.81,0,64.01,0,7.84,0,0,0,91.24,0,0,0,0,8.91,0,0,108.67,16.27,15.42
