stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,610.67,10825.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.01,0,0,0,0,0,0,0
  5-6,458.91,5519.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.11,17.23,0,0,13.43,0,42.9,0,0,0,0,0,0,0
  7-9,25.14,4.73,3.34,0,0,18.22,0,0,0,3.85,0,0,0,0,0,0,0,170.28,8.04,0,0,67.32,0,0,67.46,0,0,0,0,0,0
 10-12,0,16.77,12.12,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,199.91,5.13,0,0,12.35,0,6.84,53.2,0,0,0,0,0,0
 14-21,0,0,0,14.32,5.6,1.22,0,0,0.81,0,0,1.16,0,0,0,0,1.1,25.97,0,0,1.77,0,0,7.66,17.26,3.86,23.16,0.93,2.13,0,0
 24-34,0,0,1.39,6.56,0,2.76,0,0,0,0,0,1.39,2.1,0,2.44,0,0,28.89,0,6.22,1.55,0,0,34.26,2.98,0,9.52,0,8.84,0,4.76
 36-46,0,0,0,0.56,0,4.9,2.14,0,0,0,0,0,0,0,3.62,0,4.8,38.89,0.69,0,0.58,0,0,29.16,5.5,0,2.03,0,5.96,0,0
 48-58,0,0,0,0.77,0,2.41,2.27,0,2.43,0,0,0,0,7.28,0.67,0.6,0.64,6.1,0,1.17,0,0,0,8.77,0.56,0,0,0,8.24,0,0
 60-70,0,0,0,3.35,0.59,53.66,2.83,0,0.65,0,0,0,1.98,0,0.86,0,0,3.64,0,0,3.28,0,0,17.57,0,0,0,0,2.06,0,0
 72-82,0,0,0,6.35,5.62,49.93,4.53,0.95,0,0,0,0,1.71,0,5.03,0,0,9.77,0.61,1.71,0,0,0,8.77,0.85,0,0,0,2.78,0,0
 84-94,0,0,0,9.96,0,57.74,2.05,0.62,0,0.71,0.57,0,0,0,3.01,0,0,4.46,0,0.71,2.64,0,0,53.56,0,0,0,0,4.33,0,0
 96-106,0,0,0,12.58,0,28.61,5.87,0,0,0,0.86,0.74,0.58,0,2.69,0,1.95,6.41,0,0.56,3.01,0,0,21.31,2.44,0,0,0,0,0,0
108-118,0,0,2.94,13.48,2.59,30.61,13.22,0,0,0,0,0,0,0,4.36,0,0,4.53,0.59,0,6.75,0,0,19.74,3.87,0,1.76,0,1.79,2.4,0
120,0,0,0,19.96,0,9.45,8.55,0,4.3,0,0,0,0,0,5.04,0,0,34.85,0,0,0,0,3.42,27.54,1.53,0,0,0,0,0,0
