stage,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pronephros,spinal.cord
  3-4,120.27,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.42,0,0,6.7,0,0,0,0,20.98,4.51,0,15.29,0,0
 10-12,0,10.02,0,4.85,0,0,0,0,54.37,0,0,0,0,0
 14-21,0,0,4.51,1.76,0,0,1.6,0,0.98,0,0,0,0.81,0.84
 24-34,0,0,2.03,0,0,0,0.89,0,0,0,0,0,0,0
 36-46,0,0,0,0.62,0,0,0.7,0,2.96,0,0,0,0,0
 48-58,0,0,3.35,0,0,0,0,0.58,0,0,0,0,0,0
 60-70,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.91,0.51,0.6,0,0,0,0.9,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.45,0,0,0,0,0,0,1.98
108-118,0,0,0,2.27,0,0,0,0,0,0,0,0,0.42,0
120,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
