stage,blastomeres,endoderm,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,neural,olfactory,periderm,spinal.cord,xanthophores
  3-4,10.69,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.63,0,0,0,0,0,9.59,0,0,0,0
 10-12,0,6.08,0,0,0,0,0,20.59,0,0,0,0
 14-21,0,0,0.96,0,0,0,3.1,5.6,0,0,4.69,0
 24-34,0,0,0,0,0,0,3.83,12.46,1.36,1.27,0,0
 36-46,0,0,5.05,0,0,0.85,0,13.52,0,2.81,3.51,0
 48-58,0,0,2.6,0,0.56,0.79,0,6.5,0,7.52,0.67,0
 60-70,0,0,5.65,0,0,1.5,1.28,7.23,1.31,8.35,0,0.77
 72-82,0,0,5.93,2.99,0,0,0,16.9,1.28,0,0,0
 84-94,0,0,5.81,0,0,0,0,4.27,3.13,12.98,0,0
 96-106,0,0,0,0,0,0,3.31,0,0,2.9,0,0
108-118,0,0,9.33,0,0,0.43,0.63,0.46,9.64,0,0,0
120,0,0,0,0,0,0,0,17.24,0,5.83,0,0
