stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,67.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.17,86.44,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,15.61,0,0,0,0,0,0,0
  7-9,11.44,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,38.04,15.18,5.35,0,0,0,0,0,0,0,0
 10-12,0,0,0,47.41,0,0,7.4,0,0,0,0,0,0,0,0,59.23,60.5,8.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,2.89,2.94,0,0,0,0,0,0,0,0,2.36,0,0,0,0,1.02,13.46,0,0,0,0
 24-34,0,0,0,0.61,0,0,22.26,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,11.45,0,0,1.05,0
 36-46,0,0,0,0,0,0.67,15.3,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,7.59,0,0,0,0
 48-58,0,0,0,0,0,0,88.94,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,1.04,0,0,0,0
 60-70,0,0,0,0,0,0,499.31,0.82,0,0,0,0,0,0,0,11.61,0,0,0,1.35,0,1.72,0,0.71,0,0
 72-82,0,0,0.87,0,1.37,0,760.76,2.44,0,0,0,0,0,6.25,1.31,10.84,0,0,0,0,0,2.28,0.95,0,0,0
 84-94,0,0,0.8,0,2.3,0,544.06,10.52,6.65,0,0,0,0,1.79,0,8.71,0,0,0,0,0,0,0,0,0,0.69
 96-106,0,0,0,0,0,0,429.25,0,0,0,4.04,0,0,1.79,0,4.84,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.36,0,308.93,1.92,0.51,0,0,0,2.34,0.76,0,12.18,0,0,0,0,0,0,2.13,0,0,0
120,0,0,0,0,2.22,0,203.02,6.7,0,0,0,3.03,0,4.65,0,7.03,0,0,0,0,0,10.59,0,0,0,0
