stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,heart,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,27.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.1,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.62,0,0,4.23,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.07,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.95,0,0,0,0,3.09,0,0,0,0,3.16
 24-34,0,0,0.95,0,1.16,0,0,0,0,0,3.19,4.28,0,0,1.18,0,1.36
 36-46,0,0,0,0,0,0.65,0,0.61,0,0,7.01,10.82,0.8,0,0,0.88,1.88
 48-58,0,0,0,1.66,0.53,0,0,0,0,1.11,9.68,5.53,0.52,0,0,0,1.84
 60-70,0,0,0,1.85,3.22,0,0,0,0,0,12.88,7.61,0.65,0,0,0,10.57
 72-82,0,0,0,11.6,2.71,0,0,2.21,0,0,7.51,6.66,5.07,0,0,0,3.95
 84-94,0,0,0,11.74,0.64,0,0,0,0.96,0,8.93,4.23,0.65,0,0,0.56,2.06
 96-106,0,0,0,13.36,0,0,0,0,0,0,4.56,4.63,4.5,0,0,0,0
108-118,0,0.8,3.53,26.57,0,0,0,0,0,0,6.71,7.37,4.52,0,0,1.54,0.58
120,0,0,0,32.04,0,0,0,1.74,0,0,4.24,4.12,0,0,0,0,0
