stage,eye,gut,mesenchyme,mucous,neural,notochord,olfactory,periderm,visceral_smooth_muscle
 24-34,0,0,0,0,1.18,0,0,0,0
 36-46,0,0,0,0,1.03,0,0,0,0
 48-58,0.98,0,0,0,0.49,0,62.04,0,0
 72-82,0,0,0.71,0,66.29,0,155.73,0.81,7.46
 84-94,3.44,0,0,0,0,0,147.42,0,0
 96-106,15.32,1.39,0.64,0.71,4.94,1.52,248.64,2.01,0
108-118,0,0,0,0,3.52,0,148.6,0.44,0
