stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,32.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,14.17,0,1.27,0,0,1.72,0,0,0
 24-34,0,0,2.57,0,0.76,0,1.47,0,0.96,76.55,0,0,0,6.26,52.77,0,0,0
 36-46,0,0,0,2.62,0,0,3.61,0,0.9,73.78,0,0,0,0,33.2,0,0,0
 48-58,0,0,0,10.41,3.15,0,5.24,0,0.49,122.9,0,0,0,0,31.34,0,0,2.05
 60-70,0,0,0,12.68,4.5,0,2.94,0,0,209.47,0,0,0,0,18.55,0.7,0,1.76
 72-82,0,0,0,18.24,7.38,0,1.81,0.57,0,164.14,0,0,0,0,11.5,0,0,0
 84-94,0,0,0,9.67,15.27,1.16,1.82,0,2.11,129.69,1.26,0,0.7,0,3.84,0.84,0,0
 96-106,0,0,0,7.87,8.47,0,2.51,0,0,105.38,0.59,0.63,0,0,0,1.96,1.37,0
108-118,0,0.74,3.53,5.52,9.39,0,0.72,0,0,100.27,0.64,0,0,0,0,0,0,0
120,0,0,3.42,19.92,0,0,0,0,0,200.09,0,0,0,0,5.23,0,0,0
