stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,5.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.17,3.98,0,0,0,0,0,26.64,0,0,0,0,0,0,0,0,10.53,1.55,0,0,0,0,1.33,6.55,0,0,0,0,0
 24-34,0,0,0,2.12,0,0,0,0,0,68.22,0.62,0,0,0,0.92,0,0,10.75,117.29,1.95,0.76,0,0,3.66,1.27,36.08,0,0,10.33,0,0
 36-46,0,0,0,0,3.47,0,0.57,9.37,0,82.61,2.43,0,0,0,1.53,0.58,0,0.66,251.78,5,0,0,0,0,0,56.71,0,0,5.55,0,0
 48-58,0,0,0,1.85,30.98,0,0,1.13,0,82.9,0,0,0,0,4.67,0,0,0,389.75,0.43,0,0,0,7.15,0,46.5,0,0,24.25,0,0
 60-70,0,0,0,4.31,91.35,0,0,2.59,0,107.86,0,0,0,0,10.32,0,0,0,715.89,2.14,0,0,0,5.18,0,110.77,0,0,17.11,0,6.06
 72-82,0,1.3,3.21,13.64,91.5,6.93,0,7.5,1.59,194.74,0,1.13,0,0,8.8,4.17,0,0,672.34,3.04,0,0,0.71,6.17,0,89.01,0.95,0.5,28.88,0,0
 84-94,0,0.73,6.05,8.08,79.68,0,0.77,5.44,0.84,226.68,0,0,0,0,5.54,2.16,0,0,454.08,3.11,3.54,0,0,8.51,0,28.52,0,2.79,38.43,0,0
 96-106,0,0,3.45,20.66,67.47,0,0,10.81,1.78,277.59,0.66,0,0.63,0.69,18.12,0,4.02,0,384.43,2.5,0.6,0,0,5.86,0,20.32,2.95,0,47.11,0,0
108-118,0,0,1.94,13.44,69.02,0.54,0.44,5.04,2.71,304.81,0,0,0,0,7.29,0,0,0.53,426.34,7.01,0,0,0,1.32,0,15.9,0.42,0,39.9,0,0
120,0,0,3.42,9.44,117.95,0,0,10.25,0,319.65,0,0,0,0,4.75,0,0,7.55,514.2,0,0,0,0,0,0,17.02,0,0,41.17,9.85,0
