stage,blastomeres,eye,fast.muscle,glial,heart,lateral.line,mesenchyme,muscle,neural,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,18.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.06,0,0,0,2.06,0,1.19,0,0,0
 24-34,0,1.26,0,0,0,0,0,0,4.98,0,0,0.66,0,0,0,0
 36-46,0,0.89,14.36,0,0,0,0,0,1.49,0,0,0,1.13,0,0,0
 48-58,0,40.5,3.42,0.6,0,0,0,0,6.08,0,0,0,0,0,0,0
 60-70,0,55.08,0.84,1.81,0,0,4.41,0,23.35,0,0,0,0,0,0,0
 72-82,0,28.66,1.43,0,1.08,0.91,2.22,0,37.79,0.57,0,0,9.45,0,0,0
 84-94,0,37.21,0.72,0,0,0.61,4.97,0,44.32,0,0,0,0,0,0.97,1.09
 96-106,0,9.09,1.43,0.94,0.58,0,9.02,0,46.88,0,0,0.6,0,0,2.89,0
108-118,0,17.58,1.39,0,1.33,0.83,6.47,0,67.44,0,0,0,0,0,0.71,0
120,0,14.41,0,7.5,0,0,13.6,1.32,95.15,0,0,0,0,3.84,0,2.7
