stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.46,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.38,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,12.33,0,0,11.51,0,0,9.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.25,2.15,0.8,0,0.82,0,0,0,0,6.21,0,0,0,0,0,0,53.75,0,0,38.17,32.74,0,0,0,2.04,0,2.94,18.48,0,736.47,289.53,8.28,0,14.17,0,10.44
 24-34,0,0,0,0.83,8.23,0,23.84,392.98,0.92,5.98,2.12,0,0,31.5,0,0,1.14,0,8.17,3.56,506.41,0,0,337,357.88,5.69,2.51,0.63,0,0,8.6,2.32,3.89,618.88,305.77,76.13,0,196.54,0,115.36
 36-46,0,0,0,0,1.84,2.25,25.43,836.04,4.2,40.88,15.69,0,0,14.04,0,0,0.56,0,19.04,0.77,739.93,0,0,313.53,437.82,0,0.93,3.05,0,0,19.85,1.63,12.17,565.94,25.69,141.05,0.85,167.1,0,106.07
 48-58,0.55,0,0,0,12.49,0,149.82,586.77,5.1,66.09,35.91,0,0,8.73,0,0,1.9,4.54,9.77,24.39,1000.23,0,1.96,249.45,586.54,23.65,1.7,1.57,0,0,6.92,0,0,329.59,0,147.52,3.98,119.52,1,149.23
 60-70,0,0,0,0,15.27,7.43,184.49,449.36,9.11,60.4,36.25,0,0,2.59,12.76,0,0,0,17.87,10.71,1334.34,0,7.78,212.21,679.27,2.22,0,0,0.81,8.19,8.73,0,0.62,202.22,0,139.62,9.78,72.59,0.73,257.48
 72-82,0,0,0,0,17.6,2.25,192.06,261.8,6.68,105.74,224.03,1.11,0,10.89,0,0,0.64,0,11.7,25,1393.58,0,8.62,149.92,546.36,1.27,0,2.12,0,5.53,10.62,0,0,67.51,0,131.55,28.2,176.18,14.33,156.94
 84-94,0,0,0,0,19.44,3.85,246.12,330.89,2.47,56.47,188.03,0,2.66,5.2,3.42,0,8.37,0.73,4.25,19.44,1189.05,0,19.85,172.29,544,1.94,0,0,0,9.6,16.95,0,0,74.03,0,69.13,12.29,176.51,5.22,105.23
 96-106,0,0,0.94,0,13.4,29.72,236.79,418.91,0.8,39.6,287.3,7.86,0,11,5.37,1.37,5.04,1.82,5.82,23.78,901.07,8.58,18.19,97.68,578.99,3.91,3.2,2.17,0,6.85,24.57,0,0.87,75.2,0,56.61,21.44,130.07,3.1,134.05
108-118,0,0,0.98,0,7.24,16.64,189.59,353.11,0,44.88,306.16,4.92,0,9.94,3.99,0,3.77,0,3.33,43.99,937.49,3.03,18.7,120.12,593.37,17.65,1.2,7.1,0,14.84,5.92,0,0,61.88,0,63.28,14.02,139.62,2.45,136.44
120,0,0,3.52,0,6.71,2.63,110.15,288.31,2.06,31.14,450.06,0,0,0,0,1.45,2.63,0,0,7.86,988.43,3.01,13.51,119.04,958.58,17.56,0,0,0,36.03,11.98,3.36,0,27.22,0,63.99,15.8,278.73,17.33,105.79
