stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,iridophores,mesenchyme,neural,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0.8,0,0.83,0,0,0,0
 24-34,0.64,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0
 36-46,2.71,0,0.78,0,0,0,0,0,0,2.4,0,0,0,5.53,0,0
 48-58,0,0,1.79,0,0,0,0.42,0,0,3.4,0,0,0,0,0.74,0
 60-70,0,0,0,0,0.66,0,0,0,0,2.21,0,0,0,0,1.15,10.96
 72-82,0.83,0.68,0,0,5.63,0,2.71,0,0.9,0.86,0,0,0,0,0,1.82
 84-94,0,0,0.56,0,0,1.66,0.59,0,0,0.56,2.11,0,0,0,0,2.09
 96-106,0,3.59,0.92,1.01,0,0,0.56,0,1.37,4.1,0,0,0,0,0,0
108-118,0,0,0,0,0,0,4.47,1.07,4.15,1.9,2.14,0,0,0,0,1.31
120,3.11,0,0,0,0,0,8.15,0,0,2.72,1.06,0,2.12,0,0,0
