stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,immune,lateral.line,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,650.82,12341.87,0,0,0,0,0,0,0,0,0,0,0,0,641.77,0,0,0
  5-6,351.56,4296.41,0,0,0,0,11.49,0,0,0,0,132.87,0,37.65,46.83,0,0,0
  7-9,0,0,8.62,0,0,10,11.83,0,0,0,0,150.18,0,66.82,0,135.63,0,0
 10-12,0,0,15.41,0,0,0,0,0,0,14.93,0,53.77,0,24.06,0,79.63,11.13,0
 14-21,0,0,3.7,0,0,1.18,0,0,0,68.48,0,0.93,0,0.96,0,1.98,0,0
 24-34,0,0,0,0,0,0,0,0,0,14.05,1.17,3.7,0,0,0,0,0.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.85,4.6,3.89,0,0,0,2.03,0.97
 48-58,0,0,0,0,0,0,0,0,0.94,0,1.98,3.65,2.76,0,0,0,0.37,0.6
 60-70,0,0,0,0,0,0,0,0,0,0,0.68,1.54,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0
 84-94,0,0,0,0,0.55,2.82,0,0.67,0,0,0,3.03,0,0,0,0,0.7,0
 96-106,0,0,0,2.01,4.38,1.71,0,1.53,0,0,0,1.24,0.93,0,0,0,0,0
108-118,0,0,0,3.83,0,0.91,0,0,0,0,0,2.98,0,0,0,0.63,0,0
120,0,0,0,0,9.93,0,0,0,0,0,0,3.59,0,0,0,0,0,0
