stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.98,881.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.27,0,0,0,0,0,0,0,0,0,0
  5-6,98.25,1648.75,0,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.51,0,0,0,7.98,0,48.68,0,0,0,0,0,0,0,0,0,0
  7-9,10.38,16.06,0,16.38,0,0,0,82.41,0,0,0,0,0,30.9,0,0,0,0,0,0,0,0,0,0,716.23,34.83,0,0,219.4,0,0,5.5,0,0,0,0,0,0,0,0,0
 10-12,0,10.87,0,49.01,0,6.14,0,76.79,0,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,527.99,13.1,0,0,256.3,0,0,19.36,0,29.24,0,6.54,0,0,0,0,0
 14-21,0,0,1.05,0,11.97,3.78,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,6.05,35.9,0,0,0.84,2.73,0,3.23,0,3.94,3.69,1.95,7.13,42.04,0,0,0,0
 24-34,0,0,0,0.74,6.88,0,0,9.15,0,0,0,3.41,0.64,0,0,0,0,0,0,0,16,0,0,1.39,121.97,1.26,1.83,0.62,0,0,11.58,0,0,2.32,1.54,0,33.66,0,3.81,0,1
 36-46,0,0,0,0,0.64,0,0,14.23,0,0,0.87,4.83,0,0,0,0,0,0,0,0,17.17,0,0.6,1.91,130.81,0.64,0,0.56,0,0,2.17,0,0,0.88,0,0,40.28,0,6.12,0,0.67
 48-58,0,0,0,0,3.46,0,0,45.49,0,0,0.41,12.24,0,0,0,0,0,0,0,0,14.43,0,0.6,1.32,167.1,0,1.1,0.51,0,0,0.77,0,3.76,0.4,0,0,32.81,0,0.52,0,0
 60-70,0,0,0,0,5.82,0,0,64.78,2.05,0,0,6.91,0,0,0,0,0,0,0,5.95,14.43,0,0,6.54,133.23,6.52,0,0,0,0,0,0,0,0,0,0,12.29,0,8.76,0,0
 72-82,0,0,0,0,1.46,0,0,60.43,0,0,0,14.27,0,0,0,0,0,0,1.17,0,28.87,0,0,1.31,152.83,0,4.39,1.86,0,2.17,4.58,0,0,0,0,0,24.11,0,4.04,0,3.84
 84-94,0,0,1.42,0,2.21,0,0,50.28,0,0,0,13.08,0.68,0,1.78,0.55,1.01,3.08,0.81,0,19.51,0,0,4.06,82.1,0,4.85,0.63,0,0.6,8.52,0,0,0,2.53,0,14.15,0,2.12,0.6,2.76
 96-106,0,0,0.94,1.03,3.63,0,0.71,10.95,0,0,0,13.36,0.7,0,1.24,0,0,0,0,0,10.88,0,0,4.84,40.9,0,3.15,2.15,0,0,7.84,0,0,0,0,0,0,1.02,2.61,0,1.36
108-118,0,0,0,0,10.45,1.05,0,22.29,0,3.53,0,7.77,0,0,0,0.7,0,5.8,0,0,17.47,0,1.77,0.86,89.47,0,3.08,2.71,0,0,4.68,0,0,0,0,0,0,0,2.6,1.02,0
120,0,0,0,3.17,1.24,0,0,45.19,0,2.96,0,5.74,5.27,0,0,8.92,2.06,0,1.69,0,8.37,2.91,0,0,141.9,0,0,4.79,0,0,11.54,0,0,0,0,0,13.4,0,12.09,0,0
