stage,blastomeres,eye,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites
  5-6,27.73,0,0,0,0,0,0,0
  7-9,48.39,102.97,228.84,0,9.17,0,0,0
 10-12,17.69,33.13,589.21,5.15,70.77,19.69,9.61,16.76
